workload,slack,cases,min_pct,median_pct,max_pct
ft_llama_8b_dolly,0,12,0.555885667589293,1.2897734464528163,2.573318325011933
ft_llama_8b_dolly,6,12,5.694104685180121,8.202112464569455,9.215228449589532
ft_llama_8b_dolly,24,12,6.877716873400808,9.378651142313455,10.957001461579113
ft_llama_8b_p3,0,12,0.4693233557218891,1.1173200108188615,2.2835176421725976
ft_llama_8b_p3,6,12,4.9286525715223855,7.08374310538088,7.773246699361166
ft_llama_8b_p3,24,12,6.470331893067177,8.780289596362037,10.288619614365828
infer_llama_8b,0,12,0.5780159913002316,1.3310555415965644,2.697619515629695
infer_llama_8b,6,12,5.9339204710707545,8.412786280904584,9.243785679361286
infer_llama_8b,24,12,7.52818323189818,10.2273485582432,11.953334931846632
infer_llama_8b_32g,0,12,0.5783838608109186,1.331846544754619,2.699240206468163
infer_llama_8b_32g,6,12,5.937492372799666,8.41764118174278,9.249082629283183
infer_llama_8b_32g,24,12,7.532544230565369,10.233283710326177,11.96026660748776
infer_llama_8b_48g,0,12,0.5783838608109186,1.331846544754619,2.699240206468163
infer_llama_8b_48g,6,12,5.937492372799666,8.41764118174278,9.249082629283183
infer_llama_8b_48g,24,12,7.532544230565369,10.233283710326177,11.96026660748776
pt_mpt_13b_lg,0,12,0.2496644398068376,0.6482649012653372,1.4076162649632111
pt_mpt_13b_lg,6,12,2.808084296420762,4.218766034796689,5.1482151047106814
pt_mpt_13b_lg,24,12,4.549945463162287,5.722824866063746,7.190468218305823
pt_mpt_13b_sm,0,12,0.2516394915951648,0.6680325826528339,1.4296998449883167
pt_mpt_13b_sm,6,12,2.948770000938509,4.231147954278564,5.260017134451895
pt_mpt_13b_sm,24,12,4.608947469249383,5.885161124708251,7.443981498349555
pt_mpt_7b_fast,0,12,0.3033798845098275,0.7175496168286528,1.5572323854551933
pt_mpt_7b_fast,6,12,3.3478243295753507,4.654492286166757,5.5113886411354045
pt_mpt_7b_fast,24,12,4.717782429462682,6.044484427333357,7.424069664733405
