source_row,start_s,end_s,start_h,end_h,mode,gpus,work_gpu_h,release_h,deadline_h
730932,510.0,4887.0,0.14166666666666666,1.3575,5,1,1.2158333333333333,0.14166666666666666,1.3575
731303,2028.0,92797.72076789,0.5633333333333334,25.777144657747222,1,16,325.5777777777778,0.5633333333333334,30.736944444444443
732798,8296.0,12650.0,2.3044444444444445,3.513888888888889,5,1,1.2094444444444445,2.3044444444444445,3.513888888888889
733067,9406.0,13548.0,2.6127777777777776,3.763333333333333,5,1,1.1505555555555556,2.6127777777777776,3.763333333333333
733105,9562.0,148256.0,2.656111111111111,41.18222222222222,5,2,77.05222222222223,2.656111111111111,41.18222222222222
736365,23370.0,203306.0,6.491666666666666,56.47388888888889,5,2,99.96444444444444,6.491666666666666,56.47388888888889
736366,23370.0,203306.0,6.491666666666666,56.47388888888889,5,2,99.96444444444444,6.491666666666666,56.47388888888889
739583,36884.0,36940.0,10.245555555555555,10.261111111111111,5,1,0.015555555555555555,10.245555555555555,10.261111111111111
740062,38885.0,39099.0,10.801388888888889,10.860833333333334,5,8,0.47555555555555556,10.801388888888889,10.860833333333334
740119,39129.0,254459.0,10.869166666666667,70.68305555555555,5,8,478.5111111111111,10.869166666666667,70.68305555555555
740131,39176.0,253305.0,10.882222222222222,70.3625,5,8,475.84222222222223,10.882222222222222,70.3625
740155,39260.0,40220.0,10.905555555555555,11.172222222222222,5,32,8.533333333333333,10.905555555555555,11.172222222222222
740236,39603.0,40270.0,11.000833333333333,11.186111111111112,5,32,5.928888888888889,11.000833333333333,11.186388888888889
740403,40280.0,40954.0,11.188888888888888,11.376111111111111,5,32,5.9911111111111115,11.188888888888888,11.3775
740417,40337.0,41078.0,11.204722222222221,11.410555555555556,5,32,6.586666666666667,11.204722222222221,11.411666666666667
740492,40625.0,40702.0,11.284722222222221,11.306111111111111,5,8,0.1711111111111111,11.284722222222221,11.306111111111111
740595,41029.0,41641.0,11.396944444444445,11.566944444444445,5,32,5.44,11.396944444444445,11.5675
740601,41050.0,70258.0,11.402777777777779,19.516111111111112,5,8,64.90666666666667,11.402777777777779,19.516111111111112
740624,41140.0,41705.0,11.427777777777777,11.584722222222222,5,32,5.022222222222222,11.427777777777777,11.58611111111111
740677,41357.0,41453.0,11.488055555555556,11.514722222222222,5,1,0.02666666666666667,11.488055555555556,11.514722222222222
740768,41719.0,42392.0,11.588611111111112,11.775555555555556,5,32,5.982222222222222,11.588611111111112,11.776944444444444
740782,41771.0,42177.0,11.603055555555555,11.715833333333334,5,32,3.608888888888889,11.603055555555555,11.716388888888888
740798,41836.0,41925.0,11.62111111111111,11.645833333333334,5,1,0.024722222222222222,11.62111111111111,11.645833333333334
740897,42232.0,42322.0,11.731111111111112,11.75611111111111,5,1,0.025,11.731111111111112,11.75611111111111
740898,42234.0,42631.0,11.731666666666667,11.841944444444444,5,32,3.528888888888889,11.731666666666667,11.84361111111111
740955,42453.0,43050.0,11.7925,11.958333333333334,5,32,5.306666666666667,11.7925,11.959722222222222
741016,42701.0,43101.0,11.86138888888889,11.9725,5,32,3.5555555555555554,11.86138888888889,11.972777777777777
741031,42751.0,43000.0,11.875277777777777,11.944444444444445,5,8,0.5533333333333333,11.875277777777777,11.944444444444445
741117,43114.0,43710.0,11.976111111111111,12.141666666666667,5,32,5.297777777777778,11.976111111111111,12.142777777777777
741129,43160.0,43565.0,11.988888888888889,12.10138888888889,5,32,3.6,11.988888888888889,12.1025
741243,43633.0,44012.0,12.120277777777778,12.225555555555555,5,32,3.368888888888889,12.120277777777778,12.226111111111111
741281,43773.0,43834.0,12.159166666666666,12.176111111111112,5,8,0.13555555555555557,12.159166666666666,12.176111111111112
741283,43781.0,44312.0,12.161388888888888,12.30888888888889,5,32,4.72,12.161388888888888,12.309166666666666
741349,44049.0,44106.0,12.235833333333334,12.251666666666667,5,8,0.12666666666666668,12.235833333333334,12.251666666666667
741381,44168.0,44568.0,12.268888888888888,12.38,5,32,3.5555555555555554,12.268888888888888,12.380833333333333
741421,44317.0,44434.0,12.310277777777777,12.342777777777778,5,1,0.0325,12.310277777777777,12.342777777777778
741457,44456.0,45167.0,12.348888888888888,12.546388888888888,5,32,6.32,12.348888888888888,12.547777777777778
741517,44691.0,45037.0,12.414166666666667,12.510277777777778,5,32,3.0755555555555554,12.414166666666667,12.511666666666667
741641,45179.0,45649.0,12.549722222222222,12.680277777777778,5,32,4.177777777777778,12.549722222222222,12.68138888888889
741677,45313.0,45883.0,12.586944444444445,12.745277777777778,5,32,5.066666666666666,12.586944444444445,12.74611111111111
741792,45784.0,46386.0,12.717777777777778,12.885,5,32,5.351111111111111,12.717777777777778,12.885833333333334
741853,46042.0,46628.0,12.789444444444445,12.952222222222222,5,32,5.208888888888889,12.789444444444445,12.953055555555556
741972,46532.0,47142.0,12.925555555555556,13.095,5,32,5.4222222222222225,12.925555555555556,13.096666666666666
742035,46781.0,47318.0,12.994722222222222,13.143888888888888,5,32,4.773333333333333,12.994722222222222,13.145555555555555
742160,47278.0,47862.0,13.132777777777777,13.295,5,32,5.191111111111111,13.132777777777777,13.296666666666667
742209,47470.0,48018.0,13.186111111111112,13.338333333333333,5,32,4.871111111111111,13.186111111111112,13.338333333333333
742342,47998.0,48598.0,13.332777777777778,13.499444444444444,5,32,5.333333333333333,13.332777777777778,13.500555555555556
742385,48163.0,48642.0,13.37861111111111,13.511666666666667,5,32,4.257777777777778,13.37861111111111,13.513055555555555
742525,48719.0,49399.0,13.533055555555556,13.721944444444444,5,32,6.044444444444444,13.533055555555556,13.723055555555556
742537,48758.0,48866.0,13.543888888888889,13.573888888888888,5,16,0.48,13.543888888888889,13.573888888888888
742541,48768.0,49265.0,13.546666666666667,13.684722222222222,5,32,4.417777777777777,13.546666666666667,13.685555555555556
742705,49410.0,50010.0,13.725,13.891666666666667,5,32,5.333333333333333,13.725,13.893333333333333
742735,49528.0,49918.0,13.757777777777777,13.866111111111111,5,32,3.466666666666667,13.757777777777777,13.866944444444444
742857,50047.0,50597.0,13.901944444444444,14.054722222222223,5,32,4.888888888888889,13.901944444444444,14.056111111111111
742883,50143.0,50704.0,13.928611111111111,14.084444444444445,5,32,4.986666666666666,13.928611111111111,14.085555555555555
743022,50728.0,51564.0,14.091111111111111,14.323333333333334,5,32,7.431111111111111,14.091111111111111,14.323888888888888
743050,50835.0,51643.0,14.120833333333334,14.345277777777778,5,32,7.182222222222222,14.120833333333334,14.346111111111112
743312,51897.0,52751.0,14.415833333333333,14.653055555555556,5,32,7.591111111111111,14.415833333333333,14.653055555555556
743907,54378.0,347091.0,15.105,96.41416666666667,5,16,1300.9466666666667,15.105,96.41416666666667
744831,58189.0,58313.0,16.163611111111113,16.198055555555555,5,8,0.27555555555555555,16.163611111111113,16.198055555555555
744841,58230.0,58354.0,16.175,16.209444444444443,5,8,0.27555555555555555,16.175,16.209444444444443
744998,58866.0,59022.0,16.351666666666667,16.395,5,8,0.3466666666666667,16.351666666666667,16.395
745066,59142.0,60253.0,16.428333333333335,16.736944444444443,5,8,2.468888888888889,16.428333333333335,16.736944444444443
745112,59327.0,60450.0,16.47972222222222,16.791666666666668,5,8,2.4955555555555557,16.47972222222222,16.791666666666668
745160,59510.0,59632.0,16.530555555555555,16.564444444444444,5,1,0.03388888888888889,16.530555555555555,16.564444444444444
745374,60402.0,60589.0,16.778333333333332,16.830277777777777,5,1,0.051944444444444446,16.778333333333332,16.830277777777777
