case,shape,replicas,policy,cost,capacity_mw,balance_error_mw,capacity_error_mw,cost_error
Earth_ft_llama_8b_dolly_6_Gansu,1.0,1000,C10,14464452.527041147,16289.403469875802,0.0,0.0,1.862645149230957e-09
Earth_ft_llama_8b_dolly_6_Gansu,1.0,1000,C01,14476044.135432776,16286.074192613434,0.0,0.0,1.862645149230957e-09
Earth_ft_llama_8b_dolly_6_Gansu,1.0,1000,C11,14464072.808788538,16287.478504042532,0.0,0.0,1.862645149230957e-09
Earth_ft_llama_8b_dolly_6_Guizhou,0.0,1,C00,16219151.727491656,16720.803709120308,0.0,0.0,7.450580596923828e-09
Earth_ft_llama_8b_dolly_6_Guizhou,0.0,1,C10,16219139.980527254,16720.78834686793,0.0,0.0,9.313225746154785e-09
Earth_ft_llama_8b_dolly_6_Guizhou,0.0,1,C01,16219151.909231326,16720.821883086974,0.0,0.0,5.587935447692871e-09
Earth_ft_llama_8b_dolly_6_Guizhou,0.0,1,C11,16219139.6907721,16720.794652804612,0.0,0.0,3.725290298461914e-09
Earth_ft_llama_8b_dolly_6_Guizhou,0.5,1,C00,16240203.357849576,18825.96674491125,0.0,0.0,1.862645149230957e-09
Earth_ft_llama_8b_dolly_6_Guizhou,0.5,1,C10,16240191.626975821,18825.952991723116,0.0,0.0,1.1175870895385742e-08
Earth_ft_llama_8b_dolly_6_Guizhou,0.5,1,C01,16240203.390240585,18825.969984011248,0.0,0.0,1.30385160446167e-08
Earth_ft_llama_8b_dolly_6_Guizhou,0.5,1,C11,16240191.297718689,18825.95534746302,0.0,0.0,1.862645149230957e-09
Earth_ft_llama_8b_dolly_6_Guizhou,1.0,1,C00,16261255.342813902,20931.165241343857,0.0,0.0,1.862645149230957e-09
Earth_ft_llama_8b_dolly_6_Guizhou,1.0,1,C10,16261243.611940127,20931.151488155723,0.0,0.0,9.313225746154785e-09
Earth_ft_llama_8b_dolly_6_Guizhou,1.0,1,C01,16261255.375204891,20931.168480443856,0.0,0.0,7.450580596923828e-09
Earth_ft_llama_8b_dolly_6_Guizhou,1.0,1,C11,16261243.282683004,20931.153843895627,0.0,0.0,1.1175870895385742e-08
Earth_ft_llama_8b_dolly_6_Guizhou,0.0,1000,C00,16542852.761841975,17083.21970812031,0.0,0.0,1.862645149230957e-09
Earth_ft_llama_8b_dolly_6_Guizhou,0.0,1000,C10,16531105.797438588,17067.857455739115,0.0,0.0,0.0
Earth_ft_llama_8b_dolly_6_Guizhou,0.0,1000,C01,16543034.501508642,17101.393674786974,0.0,0.0,1.862645149230957e-09
Earth_ft_llama_8b_dolly_6_Guizhou,0.0,1000,C11,16530816.042281194,17074.163392423263,0.0,0.0,3.725290298461914e-09
Earth_ft_llama_8b_dolly_6_Guizhou,0.5,1000,C00,16563550.140389627,19152.95756288625,0.0,0.0,7.450580596923828e-09
Earth_ft_llama_8b_dolly_6_Guizhou,0.5,1000,C10,16551819.266628712,19139.204374751334,0.0,0.0,3.725290298461914e-09
Earth_ft_llama_8b_dolly_6_Guizhou,0.5,1000,C01,16563582.531389635,19156.19666288625,0.0,0.0,0.0
Earth_ft_llama_8b_dolly_6_Guizhou,0.5,1000,C11,16551490.009503525,19141.560114656004,0.0,0.0,0.0
Earth_ft_llama_8b_dolly_6_Guizhou,1.0,1000,C00,16584602.125353968,21258.15605931886,0.0,0.0,7.450580596923828e-09
Earth_ft_llama_8b_dolly_6_Guizhou,1.0,1000,C10,16572871.251593042,21244.402871183942,0.0,0.0,9.313225746154785e-09
Earth_ft_llama_8b_dolly_6_Guizhou,1.0,1000,C01,16584634.516353961,21261.395159318858,0.0,0.0,0.0
Earth_ft_llama_8b_dolly_6_Guizhou,1.0,1000,C11,16572541.994467864,21246.75861108861,0.0,0.0,1.30385160446167e-08
