source_row,start_s,end_s,start_h,end_h,mode,gpus,work_gpu_h,release_h,deadline_h
15763,9.0,22445.0,0.0025,6.2347222222222225,5,8,49.85777777777778,0.0025,6.301666666666667
15764,158.0,402.0,0.04388888888888889,0.11166666666666666,5,16,1.0844444444444445,0.04388888888888889,0.11166666666666666
15765,250.0,20235.32286213,0.06944444444444445,5.620923017258334,1,8,35.84222222222222,0.06944444444444445,10.781944444444445
15766,414.0,644.0,0.115,0.17888888888888888,5,16,1.0222222222222221,0.115,0.17888888888888888
15769,687.0,934.0,0.19083333333333333,0.2594444444444444,5,16,1.0977777777777777,0.19083333333333333,0.2594444444444444
15771,724.0,906.0,0.2011111111111111,0.25166666666666665,5,8,0.40444444444444444,0.2011111111111111,0.25166666666666665
15772,826.0,1230.0,0.22944444444444445,0.3416666666666667,5,1,0.11222222222222222,0.22944444444444445,0.3416666666666667
15773,830.0,1112.0,0.23055555555555557,0.3088888888888889,5,1,0.07833333333333334,0.23055555555555557,0.3088888888888889
15775,970.0,1203.0,0.26944444444444443,0.33416666666666667,5,16,1.0355555555555556,0.26944444444444443,0.33416666666666667
15776,985.0,1169.0,0.27361111111111114,0.32472222222222225,5,8,0.4088888888888889,0.27361111111111114,0.32472222222222225
15779,1140.0,1901.0,0.31666666666666665,0.5280555555555555,5,1,0.21138888888888888,0.31666666666666665,0.5280555555555555
15780,1218.0,1459.0,0.3383333333333333,0.4052777777777778,5,16,1.0711111111111111,0.3383333333333333,0.4052777777777778
15781,1260.0,1572.0,0.35,0.43666666666666665,5,8,0.6933333333333334,0.35,0.43666666666666665
15782,1478.0,1707.0,0.41055555555555556,0.4741666666666667,5,16,1.0177777777777777,0.41055555555555556,0.4741666666666667
15784,1711.0,2312.86781609,0.4752777777777778,0.6424632822472222,4,1,0.1638888888888889,0.4752777777777778,0.6472222222222223
15785,1719.0,1972.0,0.4775,0.5477777777777778,5,16,1.1244444444444444,0.4775,0.5477777777777778
15786,1983.0,2221.0,0.5508333333333333,0.6169444444444444,5,16,1.0577777777777777,0.5508333333333333,0.6169444444444444
15787,2180.0,108254.0,0.6055555555555555,30.070555555555554,5,1,29.465,0.6055555555555555,30.070555555555554
15788,2185.0,145017.0,0.6069444444444444,40.2825,5,1,39.675555555555555,0.6069444444444444,40.2825
15789,2232.0,2468.0,0.62,0.6855555555555556,5,16,1.048888888888889,0.62,0.6855555555555556
15790,2234.0,56997.0,0.6205555555555555,15.8325,5,1,15.211944444444445,0.6205555555555555,15.8325
15791,2373.0,120388.0,0.6591666666666667,33.44111111111111,5,1,32.78194444444444,0.6591666666666667,33.44111111111111
15792,2421.0,163152.0,0.6725,45.32,5,1,44.6475,0.6725,45.32
15794,2478.0,2657.0,0.6883333333333334,0.7380555555555556,5,1,0.04972222222222222,0.6883333333333334,0.7380555555555556
15795,2505.0,2762.0,0.6958333333333333,0.7672222222222222,5,16,1.1422222222222222,0.6958333333333333,0.7672222222222222
15796,2775.0,3015.0,0.7708333333333334,0.8375,5,16,1.0666666666666667,0.7708333333333334,0.8375
15798,3029.0,3421.0,0.8413888888888889,0.9502777777777778,5,16,1.7422222222222221,0.8413888888888889,0.9502777777777778
15800,3444.0,3690.0,0.9566666666666667,1.025,5,16,1.0933333333333333,0.9566666666666667,1.025
15803,3724.0,3976.0,1.0344444444444445,1.1044444444444443,5,16,1.12,1.0344444444444445,1.1044444444444443
15804,3756.0,5027.0,1.0433333333333332,1.396388888888889,5,1,0.35305555555555557,1.0433333333333332,1.396388888888889
15805,3963.0,4529.94814815,1.1008333333333333,1.2583189300416666,3,1,0.14972222222222223,1.1008333333333333,1.261388888888889
15806,3997.0,4237.0,1.1102777777777777,1.1769444444444443,5,16,1.0666666666666667,1.1102777777777777,1.1769444444444443
15807,4285.0,4540.0,1.1902777777777778,1.261111111111111,5,16,1.1333333333333333,1.1902777777777778,1.261111111111111
15808,4560.0,4788.0,1.2666666666666666,1.33,5,16,1.0133333333333334,1.2666666666666666,1.33
15811,4685.0,5112.0,1.301388888888889,1.42,5,1,0.11861111111111111,1.301388888888889,1.42
15812,4806.0,5079.0,1.335,1.4108333333333334,5,16,1.2133333333333334,1.335,1.4108333333333334
15813,5107.0,5341.0,1.418611111111111,1.4836111111111112,5,16,1.04,1.418611111111111,1.4836111111111112
15814,5129.0,5494.0,1.4247222222222222,1.5261111111111112,5,1,0.10138888888888889,1.4247222222222222,1.5261111111111112
15815,5377.0,5619.0,1.493611111111111,1.5608333333333333,5,16,1.0755555555555556,1.493611111111111,1.5608333333333333
15817,5644.0,5879.0,1.5677777777777777,1.6330555555555555,5,16,1.0444444444444445,1.5677777777777777,1.6330555555555555
15818,5790.0,6460.0,1.6083333333333334,1.7944444444444445,5,1,0.18611111111111112,1.6083333333333334,1.7944444444444445
15820,5896.0,6152.0,1.6377777777777778,1.708888888888889,5,16,1.1377777777777778,1.6377777777777778,1.708888888888889
15821,6165.0,6402.0,1.7125,1.7783333333333333,5,16,1.0533333333333332,1.7125,1.7783333333333333
15822,6418.0,6650.0,1.7827777777777778,1.8472222222222223,5,16,1.031111111111111,1.7827777777777778,1.8472222222222223
15825,6691.0,6936.0,1.8586111111111112,1.9266666666666667,5,16,1.0888888888888888,1.8586111111111112,1.9266666666666667
15826,6973.0,7206.0,1.9369444444444444,2.0016666666666665,5,16,1.0355555555555556,1.9369444444444444,2.0016666666666665
15827,7218.0,7482.0,2.005,2.078333333333333,5,16,1.1733333333333333,2.005,2.078333333333333
15829,7510.0,7753.0,2.0861111111111112,2.153611111111111,5,16,1.08,2.0861111111111112,2.153611111111111
15830,7779.0,8043.0,2.160833333333333,2.234166666666667,5,16,1.1733333333333333,2.160833333333333,2.234166666666667
15831,8062.0,8292.0,2.2394444444444446,2.3033333333333332,5,16,1.0222222222222221,2.2394444444444446,2.3033333333333332
15832,8311.0,8568.0,2.308611111111111,2.38,5,16,1.1422222222222222,2.308611111111111,2.38
15833,8582.0,8816.0,2.383888888888889,2.448888888888889,5,16,1.04,2.383888888888889,2.448888888888889
15834,8635.0,8947.2513089,2.3986111111111112,2.4853475858055556,1,4,0.28,2.3986111111111112,10.554166666666667
15835,8657.0,19457.0,2.4047222222222224,5.404722222222222,5,1,3.0,2.4047222222222224,5.404722222222222
15836,8837.0,9076.0,2.4547222222222222,2.5211111111111113,5,16,1.0622222222222222,2.4547222222222222,2.5211111111111113
15837,9103.0,9347.0,2.528611111111111,2.596388888888889,5,16,1.0844444444444445,2.528611111111111,2.596388888888889
15838,9362.0,9600.0,2.6005555555555557,2.6666666666666665,5,16,1.0577777777777777,2.6005555555555557,2.6666666666666665
15839,9623.0,9892.0,2.6730555555555555,2.747777777777778,5,16,1.1955555555555555,2.6730555555555555,2.747777777777778
15840,9903.0,10135.0,2.7508333333333335,2.8152777777777778,5,16,1.031111111111111,2.7508333333333335,2.8152777777777778
15841,10163.0,10416.0,2.8230555555555554,2.8933333333333335,5,16,1.1244444444444444,2.8230555555555554,2.8933333333333335
15842,10445.0,10671.0,2.901388888888889,2.964166666666667,5,16,1.0044444444444445,2.901388888888889,2.964166666666667
15843,10685.0,10951.0,2.9680555555555554,3.0419444444444443,5,16,1.1822222222222223,2.9680555555555554,3.0419444444444443
15844,10964.0,11207.0,3.0455555555555556,3.1130555555555555,5,16,1.08,3.0455555555555556,3.1130555555555555
