source_row,start_s,end_s,start_h,end_h,mode,gpus,work_gpu_h,release_h,deadline_h
73092,27.0,174.45200698,0.0075,0.048458890827777774,1,8,0.2644444444444444,0.0075,6.040555555555556
73093,41.0,87597.7539267,0.01138888888888889,24.332709424083333,1,8,157.02666666666667,0.01138888888888889,25.64138888888889
73094,149.0,477.35951134,0.04138888888888889,0.13259986426111112,1,8,0.5888888888888889,0.04138888888888889,6.115
73095,207.0,11086.23211169,0.0575,3.0795089199138888,1,1,2.438888888888889,0.0575,8.49638888888889
73098,346.0,12564.69109948,0.0961111111111111,3.4901919720777776,1,1,2.7391666666666667,0.0961111111111111,8.835277777777778
73100,418.0,731.4904014,0.11611111111111111,0.20319177816666667,1,8,0.5622222222222222,0.11611111111111111,6.186388888888889
73104,655.0,7875.19197208,0.18194444444444444,2.1875533255777775,1,8,12.948888888888888,0.18194444444444444,7.855833333333333
73105,675.0,1029.38045375,0.1875,0.28593901493055557,1,8,0.6355555555555555,0.1875,6.266944444444444
73106,688.0,80776.7434555,0.19111111111111112,22.437984293194447,1,4,71.81666666666666,0.19111111111111112,24.14527777777778
73107,741.0,88306.42757417,0.20583333333333334,24.529563215047222,1,8,157.04222222222222,0.20583333333333334,25.8375
73109,815.0,4325.34904014,0.2263888888888889,1.2014858444833334,1,8,6.295555555555556,0.2263888888888889,7.013333333333334
73113,874.0,88016.89703316,0.2427777777777778,24.449138064766668,1,8,156.28444444444443,0.2427777777777778,25.780277777777776
73119,1384.0,62633.58115183,0.3844444444444444,17.398216986619445,1,8,109.84666666666666,0.3844444444444444,20.11888888888889
73120,1387.0,68683.35253054,0.3852777777777778,19.07870903626111,1,8,120.69111111111111,0.3852777777777778,21.474444444444444
73121,1458.0,85428.82024433,0.405,23.73022784564722,1,8,150.59555555555556,0.405,25.229444444444443
73124,1544.0,106698.34554974,0.4288888888888889,29.63842931937222,1,16,377.17333333333335,0.4288888888888889,30.191388888888888
73125,1572.0,1905.31588133,0.43666666666666665,0.5292544114805555,1,1,0.07472222222222222,0.43666666666666665,6.511388888888889
73127,1815.0,33794.7382199,0.5041666666666667,9.387427283305556,1,16,114.70666666666666,0.5041666666666667,13.673333333333334
73128,1867.0,2003.30017452,0.5186111111111111,0.5564722706999999,1,1,0.030555555555555555,0.5186111111111111,6.549166666666666
