source_row,start_s,end_s,start_h,end_h,mode,gpus,work_gpu_h,release_h,deadline_h
10339,4.0,1483.47643979,0.0011111111111111111,0.4120767888305556,1,1,0.33166666666666667,0.0011111111111111111,0.71
10340,8.0,1461.45549738,0.0022222222222222222,0.4059598603833333,1,1,0.3258333333333333,0.0022222222222222222,0.7041666666666667
10341,21.0,1501.71553229,0.005833333333333334,0.4171432034138889,1,1,0.33194444444444443,0.005833333333333334,0.7102777777777778
10342,21.0,1500.47643979,0.005833333333333334,0.4167990110527778,1,1,0.33166666666666667,0.005833333333333334,0.7102777777777778
10343,21.0,773.12914485,0.005833333333333334,0.21475809579166666,1,1,0.1686111111111111,0.005833333333333334,0.6458333333333334
10345,167.0,381.0,0.04638888888888889,0.10583333333333333,5,1,0.059444444444444446,0.04638888888888889,0.10583333333333333
10346,187.0,942.84642234,0.051944444444444446,0.26190178398333336,1,1,0.16944444444444445,0.051944444444444446,0.6466666666666666
10347,189.0,941.12914485,0.0525,0.26142476245833335,1,1,0.1686111111111111,0.0525,0.6458333333333334
10348,193.0,937.69458988,0.05361111111111111,0.2604707194111111,1,1,0.16694444444444445,0.05361111111111111,0.6458333333333334
10349,196.0,939.45549738,0.05444444444444444,0.26095986038333335,1,1,0.16666666666666666,0.05444444444444444,0.6458333333333334
10350,200.0,1637.34729494,0.05555555555555555,0.4548186930388889,1,1,0.32222222222222224,0.05555555555555555,0.8425
10351,381.0,578.0,0.10583333333333333,0.16055555555555556,5,1,0.05472222222222222,0.10583333333333333,0.16055555555555556
10352,423.0,2131.70855148,0.1175,0.5921412643,1,1,0.38305555555555554,0.1175,0.9244444444444444
10353,429.0,2137.70855148,0.11916666666666667,0.5938079309666667,1,1,0.38305555555555554,0.11916666666666667,0.9244444444444444
10354,436.0,2152.14310646,0.12111111111111111,0.5978175295722222,1,1,0.38472222222222224,0.12111111111111111,0.9261111111111111
10355,436.0,2152.14310646,0.12111111111111111,0.5978175295722222,1,1,0.38472222222222224,0.12111111111111111,0.9261111111111111
10356,436.0,2149.66492147,0.12111111111111111,0.5971291448527778,1,1,0.38416666666666666,0.12111111111111111,0.9255555555555556
10357,436.0,2144.70855148,0.12111111111111111,0.5957523754111111,1,1,0.38305555555555554,0.12111111111111111,0.9244444444444444
10358,436.0,1864.67364747,0.12111111111111111,0.517964902075,1,1,0.3202777777777778,0.12111111111111111,0.8891666666666667
10359,437.0,1865.67364747,0.1213888888888889,0.5182426798527778,1,1,0.3202777777777778,0.1213888888888889,0.8891666666666667
10361,500.0,2298.0,0.1388888888888889,0.6383333333333333,5,8,3.9955555555555557,0.1388888888888889,0.6383333333333333
10362,578.0,835.0,0.16055555555555556,0.23194444444444445,5,1,0.07138888888888889,0.16055555555555556,0.23194444444444445
10364,664.0,2055.5008726,0.18444444444444444,0.5709724646111112,1,1,0.31194444444444447,0.18444444444444444,0.8811111111111111
10365,676.0,2100.95636998,0.18777777777777777,0.5835989916611112,1,1,0.3194444444444444,0.18777777777777777,0.8891666666666667
10366,682.0,2103.2390925,0.18944444444444444,0.58423308125,1,1,0.3186111111111111,0.18944444444444444,0.8886111111111111
10367,682.0,2075.97905759,0.18944444444444444,0.5766608493305556,1,1,0.3125,0.18944444444444444,0.8872222222222222
10370,835.0,1059.0,0.23194444444444445,0.2941666666666667,5,1,0.06222222222222222,0.23194444444444445,0.2941666666666667
10371,869.0,60598.21465969,0.24138888888888888,16.832837405469444,1,32,428.48,0.24138888888888888,30.15388888888889
