run,cluster,start,slack,jobs,fixed_work_gpu_h,cohort_incremental_gpu_energy_saving_pct,all_gpu_energy_saving_pct,upper_bound_on_cohort_saving_pct,exact_gang_capacity_excess_gpus,max_work_error_gpu_h,max_deadline_or_release_violation_s
Earth_2020-04-06_slack0,Earth,2020-04-06,0,774,31102.74833333333,3.976673916775182,0.995091832773719,4.535985583842353,0.0,1.6470380614919122e-11,0.0
Earth_2020-04-06_slack6,Earth,2020-04-06,6,774,31102.74833333333,26.125261746897124,6.537381524732824,29.18770378432647,0.0,3.518696445325986e-11,0.0
Earth_2020-04-06_slack24,Earth,2020-04-06,24,774,31102.74833333333,34.59658976364931,8.657180507158131,35.64014634210144,0.0,3.518696445325986e-11,0.0
Venus_2020-04-06_slack0,Venus,2020-04-06,0,2332,45150.48222222223,1.9704400371730246,0.6278104516105543,2.2691712063427607,0.0,3.525713054841617e-11,0.0
Venus_2020-04-06_slack6,Venus,2020-04-06,6,2332,45150.48222222223,25.042647764680996,7.978946685038282,28.020372685277223,0.0,7.349321151650656e-11,0.0
Venus_2020-04-06_slack24,Venus,2020-04-06,24,2332,45150.48222222223,35.17699848829918,11.207896150408791,35.4485468690008,0.0,7.349321151650656e-11,0.0
Saturn_2020-04-06_slack0,Saturn,2020-04-06,0,14089,130376.4288888889,6.453318067662677,2.0856960122339583,7.2592682922173,0.0,4.2239989284098556e-11,0.0
Saturn_2020-04-06_slack6,Saturn,2020-04-06,6,14089,130376.4288888889,27.13261447793267,8.769192100057447,31.695604886797224,0.0,7.452172212651931e-11,0.0
Saturn_2020-04-06_slack24,Saturn,2020-04-06,24,14089,130376.4288888889,27.774128398722237,8.976527770228122,35.60202621831597,0.0,7.30437932361383e-11,0.0
Uranus_2020-04-06_slack0,Uranus,2020-04-06,0,11521,104900.52944444444,6.288431443564923,1.7482558307519798,7.022415097055899,0.0,5.84949866322404e-11,0.0
Uranus_2020-04-06_slack6,Uranus,2020-04-06,6,11521,104900.52944444444,29.49353306217871,8.199539361790276,32.181693956275566,0.0,7.196376827778295e-11,0.0
Uranus_2020-04-06_slack24,Uranus,2020-04-06,24,11521,104900.52944444444,35.62711482806887,9.904745211904874,35.64343506338911,0.0,7.196376827778295e-11,0.0
