year,curve,quarterly_absolute_error_sum_mwh,annual_signed_error_mwh,quarterly_absolute_error_over_annual_generation_pct,annual_signed_error_pct,cancellation_fraction,maximum_absolute_quarter_error_pct
2022,NREL_ReferenceTurbine_5MW_offshore,55542.52665831719,-1.7462298274040222e-10,6.4962019483411915,-2.042374067139207e-14,0.9999999999999969,13.994618229406575
2022,Vestas_V112_3MW,52301.66973006679,-5.820766091346741e-11,6.117154354393777,-6.807913557130691e-15,0.9999999999999989,12.453453759832133
2022,legacy_generic,75660.59680522222,0.0,8.849192608797921,0.0,1.0,18.475315460883035
2023,NREL_ReferenceTurbine_5MW_offshore,112184.8896332047,-4728.590412032703,13.075161961911968,-0.5511177636401752,0.9578500239426797,17.166530494232934
2023,Vestas_V112_3MW,102727.5233765174,-11482.695721568365,11.972904822437926,-1.3383095246583177,0.8882218188062226,18.62578502264324
2023,legacy_generic,151928.13923935842,20810.5825488689,17.70724233558956,2.4254758215464918,0.8630235145835465,21.940422357732437
2024,NREL_ReferenceTurbine_5MW_offshore,126690.5257095168,-120441.42778014907,12.312004442129913,-11.704706295446947,0.049325692622793404,21.634155417351675
2024,Vestas_V112_3MW,142987.43034122407,-128218.67597801052,13.895765825191845,-12.460512728669633,0.10328708144463827,21.934048676350482
2024,legacy_generic,99739.79964400045,-88648.59302871142,9.692886262779442,-8.615023617950575,0.11120141262441563,20.12401074949912
