year,quarter,curve,hours,observed_gross_mwh,observed_export_mwh,rounding_halfwidth_mwh,unscaled_mwh,scaled_mwh,unscaled_error_pct,scaled_error_mwh,scaled_error_pct,scaled_error_lower_rounding_pct,scaled_error_upper_rounding_pct,scaled_hours_above_one,frozen_2022_scale
2022,1,NREL_ReferenceTurbine_5MW_offshore,2160,219000.0,214000.0,500.0,215811.982211,195404.7464098107,-1.4557158853881313,-23595.2535901893,-10.774088397346715,-10.977336487557764,-10.56991010992645,0,0.9054397462452428
2022,1,Vestas_V112_3MW,2160,219000.0,214000.0,500.0,245038.50486111105,195357.98110079352,11.889728247082676,-23642.01889920648,-10.795442419728985,-10.998641867520032,-10.591312997348501,0,0.7972542160731976
2022,1,legacy_generic,2160,219000.0,214000.0,500.0,147318.85204394718,191857.0200133584,-32.73111778815198,-27142.979986641614,-12.394054788420828,-12.593612750178407,-12.193583517913787,206,1.3023249730192363
2022,2,NREL_ReferenceTurbine_5MW_offshore,2184,236000.0,230000.0,1000.0,260869.77780324998,236201.86541722756,10.538041442055079,201.86541722755646,0.08553619374049859,-0.3367656467394231,0.5114320924372473,0,0.9054397462452428
2022,2,Vestas_V112_3MW,2184,236000.0,230000.0,1000.0,298044.87222222215,237617.53095816408,26.290200094161918,1617.5309581640759,0.6853944737983397,0.26056158572322907,1.1138429609208744,0,0.7972542160731976
2022,2,legacy_generic,2184,236000.0,230000.0,1000.0,182315.4219289969,237433.92694467155,-22.747702572458948,1433.926944671548,0.6075961629964155,0.18309153783608867,1.03571359347725,214,1.3023249730192363
2022,3,NREL_ReferenceTurbine_5MW_offshore,2208,203000.0,197000.0,1000.0,219588.317263,198823.99026103062,8.171584858620683,-4176.009738969384,-2.057147654664726,-2.5372596759653865,-1.5722820489947442,0,0.9054397462452428
2022,3,Vestas_V112_3MW,2208,203000.0,197000.0,1000.0,251477.10729166662,200491.18403417306,23.88034841954021,-2508.8159658269433,-1.2358699339048984,-1.720007826385761,-0.7469385969440356,0,0.7972542160731976
2022,3,legacy_generic,2208,203000.0,197000.0,1000.0,147668.73519915977,192312.6815840305,-27.256780690069082,-10687.318415969494,-5.264688874861823,-5.729077654887005,-4.795702186123507,170,1.3023249730192363
2022,4,NREL_ReferenceTurbine_5MW_offshore,2208,197000.0,190000.0,1000.0,248022.46515375003,224569.39791193095,25.899728504441644,27569.39791193095,13.994618229406575,13.418887834308556,14.576223424454572,0,0.9054397462452428
2022,4,Vestas_V112_3MW,2208,197000.0,190000.0,1000.0,277870.3447916666,221533.3039068693,41.05093644247035,24533.30390686929,12.453453759832133,11.885507023671348,13.027195870851681,0,0.7972542160731976
2022,4,legacy_generic,2208,197000.0,190000.0,1000.0,179215.15466055035,233396.37145793956,-9.027840273832311,36396.37145793956,18.475315460883035,17.876955281787655,19.07978135609161,314,1.3023249730192363
2023,1,NREL_ReferenceTurbine_5MW_offshore,2160,207000.0,201000.0,500.0,257298.94358350002,232968.6901874133,24.29900656207731,25968.690187413304,12.545260960103043,12.274067560199175,12.817767645236477,0,0.9054397462452428
2023,1,Vestas_V112_3MW,2160,207000.0,201000.0,500.0,287824.99375,229469.68975842916,39.0458907004831,22469.68975842916,10.854922588613114,10.587802293218873,11.12333644475989,0,0.7972542160731976
2023,1,legacy_generic,2160,207000.0,201000.0,500.0,188707.61865840704,245758.64437783428,-8.836899198837179,38758.64437783428,18.72398279122429,18.43790090498039,19.01145006190521,300,1.3023249730192363
2023,2,NREL_ReferenceTurbine_5MW_offshore,2184,217000.0,211000.0,1000.0,270321.09031899995,244759.4594231727,24.571931022580618,27759.459423172695,12.792377614365291,12.274981386776474,13.31456454776514,0,0.9054397462452428
2023,2,Vestas_V112_3MW,2184,217000.0,211000.0,1000.0,301224.7777777778,240152.72406904536,38.813261648745545,23152.724069045362,10.66945809633426,10.161800031672175,11.181816698632119,0,0.7972542160731976
2023,2,legacy_generic,2184,217000.0,211000.0,1000.0,203183.3236698371,264610.7165162794,-6.367131949383831,47610.71651627938,21.940422357732437,21.381062622146494,22.50496135012934,350,1.3023249730192363
2023,3,NREL_ReferenceTurbine_5MW_offshore,2208,177000.0,170000.0,1000.0,179648.887761,162661.24334755994,1.4965467576271152,-14338.75665244006,-8.100992459005685,-8.617279018224755,-7.578839007068217,0,0.9054397462452428
2023,3,Vestas_V112_3MW,2208,177000.0,170000.0,1000.0,210426.17847222218,167763.15795915024,18.884846594475803,-9236.842040849762,-5.218554825338851,-5.751034854409975,-4.680023886846452,0,0.7972542160731976
2023,3,legacy_generic,2208,177000.0,170000.0,1000.0,110158.07850247595,143461.61661358795,-37.763797456228275,-33538.38338641205,-18.94823920136274,-19.40358617214161,-18.487717833188665,106,1.3023249730192363
2023,4,NREL_ReferenceTurbine_5MW_offshore,2208,257000.0,250000.0,1000.0,235114.50376749996,212882.01662982136,-8.51575728891052,-44117.98337017864,-17.166530494232934,-17.487590453557612,-16.842962253976033,0,0.9054397462452428
2023,4,Vestas_V112_3MW,2208,257000.0,250000.0,1000.0,262314.9909722222,209131.73249180688,2.0680898724599883,-47868.26750819312,-18.62578502264324,-18.941188956664,-18.30791699538794,0,0.7972542160731976
2023,4,legacy_generic,2208,257000.0,250000.0,1000.0,172752.2774285648,224979.6050411673,-32.781215008340546,-32020.39495883271,-12.459297649351253,-12.798602697221984,-12.117341780794021,317,1.3023249730192363
2024,1,NREL_ReferenceTurbine_5MW_offshore,2184,334000.0,318000.0,500.0,301567.26309849997,273050.98617577826,-9.710400269910192,-60949.013824221736,-18.248207731802914,-18.370407720245662,-18.125641326603215,0,0.9054397462452428
2024,1,Vestas_V112_3MW,2184,334000.0,318000.0,500.0,331537.02847222215,264319.2937338589,-0.7374166250831871,-69680.70626614109,-20.862486906030263,-20.980779152807504,-20.7438399598624,0,0.7972542160731976
2024,1,legacy_generic,2184,334000.0,318000.0,500.0,235358.9291514832,306513.8110570417,-29.53325474506491,-27486.18894295831,-8.229397887113265,-8.366573675024902,-8.091810777498743,436,1.3023249730192363
2024,2,NREL_ReferenceTurbine_5MW_offshore,2184,186000.0,175000.0,1000.0,208875.90781049998,189124.54896468387,12.298875166935463,3124.5489646838687,1.6798650347762845,1.1361224410074255,2.229485926856145,0,0.9054397462452428
2024,2,Vestas_V112_3MW,2184,186000.0,175000.0,1000.0,242563.0034722222,193384.37718160677,30.410216920549573,7384.377181606775,3.9700952589283744,3.414105444709503,4.532095773841505,0,0.7972542160731976
2024,2,legacy_generic,2184,186000.0,175000.0,1000.0,134711.37099596532,175437.98259770492,-27.574531722599293,-10562.017402295081,-5.678503979728533,-6.182897006574906,-5.168658055294639,151,1.3023249730192363
2024,3,NREL_ReferenceTurbine_5MW_offshore,2208,230000.0,220000.0,1000.0,251526.76546199995,227742.33069379997,9.359463244347799,-2257.6693062000268,-0.9815953505217467,-1.4102464529004433,-0.5492005703930269,0,0.9054397462452428
2024,3,Vestas_V112_3MW,2208,230000.0,220000.0,1000.0,282561.8784722222,225273.64891354163,22.852990640096603,-4726.351086458366,-2.0549352549818933,-2.478939864267693,-1.6272275486717724,0,0.7972542160731976
2024,3,legacy_generic,2208,230000.0,220000.0,1000.0,180865.45845893517,235545.60330764452,-21.36284414828905,5545.6033076445165,2.4111318728889275,1.9677936396729434,2.8583420557399597,272,1.3023249730192363
2024,4,NREL_ReferenceTurbine_5MW_offshore,2208,279000.0,267000.0,1000.0,241474.60644649997,218640.70638558883,-13.44996184713263,-60359.29361441117,-21.634155417351675,-21.914033433718274,-21.35226389007596,0,0.9054397462452428
2024,4,Vestas_V112_3MW,2208,279000.0,267000.0,1000.0,273192.66527777776,217804.00419298216,-2.081481979291122,-61195.99580701784,-21.934048676350482,-22.212855645363515,-21.65323590180498,0,0.7972542160731976
2024,4,legacy_generic,2208,279000.0,267000.0,1000.0,171120.1233377606,222854.01000889746,-38.66662245958401,-56145.98999110254,-20.12401074949912,-20.409282139679476,-19.836687047159185,281,1.3023249730192363
