active_gpus,gpu_cap_w,relative_reference_time_allowance,rounding_only_additional_time_margin_s,rounding_only_additional_energy_margin_j,nominal_energy_reduction_pct,rounding_only_energy_reduction_lower_pct,mean_candidate_passes_rounding_and_zero_overhead_screen,is_reference
1,100,0,-408.740,-115390.000,-47.00753717661438174781014460,-47.01256900731324736702723620,False,False
1,110,0,-283.500,-68960.000,-28.09126094927683845997148100,-28.09590743343722626250280100,False,False
1,120,0,-195.410,-35810.000,-14.58545528620900387044204520,-14.58982664140642506467844120,False,False
1,130,0,-137.280,-15510.000,-6.314931757995518435526583800,-6.319134633013506080792030800,False,False
1,140,0,-107.600,-6950.000,-2.827459767773477286616418800,-2.831591598932551080690175000,False,False
1,150,0,-83.220,-340.000,-0.134446934202485231207985300,-0.138523905559290268695634500,False,False
1,160,0,-66.440,2840.000,1.161132613566917905887146060,1.157082034671718714987064310,False,False
1,170,0,-53.490,4800.000,1.959665919739254430637604400,1.955631607895862616879545320,False,False
1,180,0,-42.470,6120.000,2.497453656549195355469545730,2.493430300067224836521420280,False,False
1,190,0,-33.450,6830.000,2.786718272560602974129150540,2.782700808735154515268186360,False,False
1,200,0,-25.930,6840.000,2.790792422081890405377877370,2.786775041251604229053352070,False,False
1,210,0,-19.970,6190.000,2.525972703198207374210633530,2.521949927682372833017580310,False,False
1,220,0,-14.650,5250.000,2.143002648197188836830311670,2.138972071136099737212002690,False,False
1,230,0,-10.270,4240.000,1.731513546547158280708902020,1.727474586974678644910265030,False,False
1,240,0,-6.200,2780.000,1.136687716439193318394785090,1.132636639573020432276070000,False,False
1,250,0,-2.900,1470.000,0.6029741291505398248115705800,0.5989121799181079264193607500,False,False
1,260,0,0.000,0,0,0,True,True
1,100,0.025,-398.152625,-115390.000,-47.00753717661438174781014460,-47.01256900731324736702723620,False,False
1,110,0.025,-272.912625,-68960.000,-28.09126094927683845997148100,-28.09590743343722626250280100,False,False
1,120,0.025,-184.822625,-35810.000,-14.58545528620900387044204520,-14.58982664140642506467844120,False,False
1,130,0.025,-126.692625,-15510.000,-6.314931757995518435526583800,-6.319134633013506080792030800,False,False
1,140,0.025,-97.012625,-6950.000,-2.827459767773477286616418800,-2.831591598932551080690175000,False,False
1,150,0.025,-72.632625,-340.000,-0.134446934202485231207985300,-0.138523905559290268695634500,False,False
1,160,0.025,-55.852625,2840.000,1.161132613566917905887146060,1.157082034671718714987064310,False,False
1,170,0.025,-42.902625,4800.000,1.959665919739254430637604400,1.955631607895862616879545320,False,False
1,180,0.025,-31.882625,6120.000,2.497453656549195355469545730,2.493430300067224836521420280,False,False
1,190,0.025,-22.862625,6830.000,2.786718272560602974129150540,2.782700808735154515268186360,False,False
1,200,0.025,-15.342625,6840.000,2.790792422081890405377877370,2.786775041251604229053352070,False,False
1,210,0.025,-9.382625,6190.000,2.525972703198207374210633530,2.521949927682372833017580310,False,False
1,220,0.025,-4.062625,5250.000,2.143002648197188836830311670,2.138972071136099737212002690,False,False
1,230,0.025,0.317375,4240.000,1.731513546547158280708902020,1.727474586974678644910265030,True,False
1,240,0.025,4.387375,2780.000,1.136687716439193318394785090,1.132636639573020432276070000,True,False
1,250,0.025,7.687375,1470.000,0.6029741291505398248115705800,0.5989121799181079264193607500,True,False
1,260,0.025,10.587375,0,0,0,True,True
1,100,0.05,-387.56525,-115390.000,-47.00753717661438174781014460,-47.01256900731324736702723620,False,False
1,110,0.05,-262.32525,-68960.000,-28.09126094927683845997148100,-28.09590743343722626250280100,False,False
1,120,0.05,-174.23525,-35810.000,-14.58545528620900387044204520,-14.58982664140642506467844120,False,False
1,130,0.05,-116.10525,-15510.000,-6.314931757995518435526583800,-6.319134633013506080792030800,False,False
1,140,0.05,-86.42525,-6950.000,-2.827459767773477286616418800,-2.831591598932551080690175000,False,False
1,150,0.05,-62.04525,-340.000,-0.134446934202485231207985300,-0.138523905559290268695634500,False,False
1,160,0.05,-45.26525,2840.000,1.161132613566917905887146060,1.157082034671718714987064310,False,False
1,170,0.05,-32.31525,4800.000,1.959665919739254430637604400,1.955631607895862616879545320,False,False
1,180,0.05,-21.29525,6120.000,2.497453656549195355469545730,2.493430300067224836521420280,False,False
1,190,0.05,-12.27525,6830.000,2.786718272560602974129150540,2.782700808735154515268186360,False,False
1,200,0.05,-4.75525,6840.000,2.790792422081890405377877370,2.786775041251604229053352070,False,False
1,210,0.05,1.20475,6190.000,2.525972703198207374210633530,2.521949927682372833017580310,True,False
1,220,0.05,6.52475,5250.000,2.143002648197188836830311670,2.138972071136099737212002690,True,False
1,230,0.05,10.90475,4240.000,1.731513546547158280708902020,1.727474586974678644910265030,True,False
1,240,0.05,14.97475,2780.000,1.136687716439193318394785090,1.132636639573020432276070000,True,False
1,250,0.05,18.27475,1470.000,0.6029741291505398248115705800,0.5989121799181079264193607500,True,False
1,260,0.05,21.17475,0,0,0,True,True
1,100,0.1,-366.3905,-115390.000,-47.00753717661438174781014460,-47.01256900731324736702723620,False,False
1,110,0.1,-241.1505,-68960.000,-28.09126094927683845997148100,-28.09590743343722626250280100,False,False
1,120,0.1,-153.0605,-35810.000,-14.58545528620900387044204520,-14.58982664140642506467844120,False,False
1,130,0.1,-94.9305,-15510.000,-6.314931757995518435526583800,-6.319134633013506080792030800,False,False
1,140,0.1,-65.2505,-6950.000,-2.827459767773477286616418800,-2.831591598932551080690175000,False,False
1,150,0.1,-40.8705,-340.000,-0.134446934202485231207985300,-0.138523905559290268695634500,False,False
1,160,0.1,-24.0905,2840.000,1.161132613566917905887146060,1.157082034671718714987064310,False,False
1,170,0.1,-11.1405,4800.000,1.959665919739254430637604400,1.955631607895862616879545320,False,False
1,180,0.1,-0.1205,6120.000,2.497453656549195355469545730,2.493430300067224836521420280,False,False
1,190,0.1,8.8995,6830.000,2.786718272560602974129150540,2.782700808735154515268186360,True,False
1,200,0.1,16.4195,6840.000,2.790792422081890405377877370,2.786775041251604229053352070,True,False
1,210,0.1,22.3795,6190.000,2.525972703198207374210633530,2.521949927682372833017580310,True,False
1,220,0.1,27.6995,5250.000,2.143002648197188836830311670,2.138972071136099737212002690,True,False
1,230,0.1,32.0795,4240.000,1.731513546547158280708902020,1.727474586974678644910265030,True,False
1,240,0.1,36.1495,2780.000,1.136687716439193318394785090,1.132636639573020432276070000,True,False
1,250,0.1,39.4495,1470.000,0.6029741291505398248115705800,0.5989121799181079264193607500,True,False
1,260,0.1,42.3495,0,0,0,True,True
1,100,0.2,-324.0410,-115390.000,-47.00753717661438174781014460,-47.01256900731324736702723620,False,False
1,110,0.2,-198.8010,-68960.000,-28.09126094927683845997148100,-28.09590743343722626250280100,False,False
1,120,0.2,-110.7110,-35810.000,-14.58545528620900387044204520,-14.58982664140642506467844120,False,False
1,130,0.2,-52.5810,-15510.000,-6.314931757995518435526583800,-6.319134633013506080792030800,False,False
1,140,0.2,-22.9010,-6950.000,-2.827459767773477286616418800,-2.831591598932551080690175000,False,False
1,150,0.2,1.4790,-340.000,-0.134446934202485231207985300,-0.138523905559290268695634500,False,False
1,160,0.2,18.2590,2840.000,1.161132613566917905887146060,1.157082034671718714987064310,True,False
1,170,0.2,31.2090,4800.000,1.959665919739254430637604400,1.955631607895862616879545320,True,False
1,180,0.2,42.2290,6120.000,2.497453656549195355469545730,2.493430300067224836521420280,True,False
1,190,0.2,51.2490,6830.000,2.786718272560602974129150540,2.782700808735154515268186360,True,False
1,200,0.2,58.7690,6840.000,2.790792422081890405377877370,2.786775041251604229053352070,True,False
1,210,0.2,64.7290,6190.000,2.525972703198207374210633530,2.521949927682372833017580310,True,False
1,220,0.2,70.0490,5250.000,2.143002648197188836830311670,2.138972071136099737212002690,True,False
1,230,0.2,74.4290,4240.000,1.731513546547158280708902020,1.727474586974678644910265030,True,False
1,240,0.2,78.4990,2780.000,1.136687716439193318394785090,1.132636639573020432276070000,True,False
