case,total_cost,investment,new_ocgt,new_onwind,new_solar,new_batt_mw,emissions_t,curtail,ai_mwh,import_mwh,export_mwh
NOAI,105607694.06056553,0.0,0.0,0.0,0.0,-0.0,3733959.5588047663,0.24385102799570754,0.0,0.0,0.0
S0,119211927.1135746,0.0,0.0,0.0,0.0,-0.0,4228689.321205834,0.03769549657130264,578778.9890543001,0.0,0.0
S0e,117666450.37668556,0.0,0.0,0.0,0.0,-0.0,4172576.681051743,0.06227047320031914,514866.75714604906,0.0,0.0
S1,117618418.44610222,0.0,0.0,0.0,0.0,-0.0,4170702.4531291067,0.053821872225899604,515998.7543966245,0.0,0.0
S2,117543512.08465183,0.0,0.0,0.0,0.0,-0.0,4167765.483167642,0.03781350539701474,519895.03080400545,0.0,0.0
S1rt,117565249.30839948,0.0,0.0,0.0,0.0,-0.0,4168523.3881628946,0.03532604283480828,521950.19528967806,0.0,0.0
S3,117618418.44610222,0.0,0.0,0.0,0.0,-0.0,4170702.4531291067,0.053821872225899604,515998.7543966245,0.0,0.0
