case,total_cost,investment,operating,new_coal,new_ocgt,new_batt_mw,new_batt_mwh,emissions_t,curtail_rate,import_mwh,export_mwh,ai_mwh
NOAI,74829393.032395,0.0,74829393.03239436,0.0,0.0,-0.0,0.0,2732122.700663937,0.6037300294251023,0.0,1209600.0,0.0
S0,87842972.78704597,0.0,87842972.78704402,0.0,0.0,-0.0,0.0,3205789.929544591,0.4119767839467345,0.0,1209600.0,813883.0337315925
S0b,82951627.47247916,0.0,82951627.47247848,0.0,0.0,-0.0,0.0,3027553.7517916956,0.444993298229699,0.0,1209600.0,551652.1198644249
S1,82878489.05583712,0.0,82878489.05583635,0.0,0.0,-0.0,0.0,3024589.5817987765,0.425946285370281,0.0,1209600.0,568462.4519167554
S2,82445320.82167837,0.0,82445320.82167767,0.0,0.0,-0.0,-0.0,3008356.188944383,0.3992886927433936,0.0,1209600.0,562474.7633083854
