case,total_cost,investment,operating,new_coal,new_ocgt,new_batt_mw,new_batt_mwh,emissions_t,curtail_rate,import_mwh,export_mwh,ai_mwh,note
NOAI,55737211.59441539,0.0,55737211.59441592,0.0,0.0,0.0,0.0,2029927.660566518,0.06588897060931023,0.0,1209600.0,0.0,
S0,76527525.3121317,0.0,76527525.31213094,0.0,0.0,-0.0,0.0,2788695.0230798163,0.003475677003549259,0.0,1209600.0,754978.9926398945,
S0b,,,,,,,,,,,,,S0b defined only for uniform arrivals
S1,73559978.64087379,0.0,73559978.64087313,0.0,0.0,-0.0,-0.0,2680237.5253193034,0.0019475935065166974,0.0,1209600.0,650164.6535074952,
S2,73349890.99792252,0.0,73349890.99792185,0.0,0.0,-0.0,0.0,2672539.6074244315,0.000629873467949535,0.0,1209600.0,643083.9830181443,
