case,total_cost,investment,operating,new_coal,new_ocgt,new_batt_mw,new_batt_mwh,emissions_t,curtail_rate,import_mwh,export_mwh,ai_mwh
NOAI,151314900.77933595,0.0,151314900.77933574,0.0,0.0,0.0,0.0,5210133.947871386,0.0,0.0,0.0,0.0
S0,165764402.0588819,0.0,165764402.0588817,0.0,0.0,-0.0,0.0,5738111.426113792,0.0,0.0,0.0,512448.72888233804
S0b,161108811.79784963,0.0,161108811.79784948,0.0,0.0,-0.0,0.0,5567998.509536583,0.0,0.0,0.0,347339.1333809276
S1,161407258.7545162,0.0,161407258.75451607,0.0,0.0,-0.0,0.0,5578903.610586191,0.0,0.0,0.0,357923.49616437376
S2,160912006.96690595,0.0,160912006.9669057,0.0,0.0,-0.0,0.0,5560807.360420951,0.0,0.0,0.0,340359.48865105666
