case,total_cost,investment,operating,new_coal,new_ocgt,new_batt_mw,new_batt_mwh,emissions_t,curtail_rate,import_mwh,export_mwh,ai_mwh,note
NOAI,147963758.5480307,0.0,147963758.5480305,0.0,0.0,-0.0,-0.0,5264962.168443723,0.0,0.0,1773854.1949835652,0.0,
S0,162265287.99531868,0.0,162265287.99531955,0.0,0.0,-0.0,-0.0,5740038.843184893,0.0,0.0,1298624.5656428116,475360.72024665447,
S0b,,,,,,,,,,,,,S0b defined only for uniform arrivals
S1,160259765.78407288,0.0,160259765.7840735,0.0,0.0,-0.0,0.0,5673419.940496675,0.0,0.0,1365283.8679081635,408701.41798130237,
S2,160142807.96463597,0.0,160142807.96463656,0.0,0.0,-0.0,0.0,5669534.866799653,0.0,0.0,1369171.29762319,404813.9882662756,
