province,export,ai_share,W,case,total_cost,investment,new_coal,new_ocgt,new_batt_mw,emissions_t,curtail_rate,ai_mwh,export_mwh,import_mwh,deadline_extensions,dropped_share,note
Gansu,False,0.2,24,NOAI,151314900.77933595,0.0,0.0,0.0,0.0,5210133.947871386,0.0,0.0,0.0,0.0,0.0,0.3368520024367635,
Gansu,False,0.2,24,S0,164718632.60326046,0.0,0.0,0.0,-0.0,5699899.538428541,0.0,475360.72024665447,0.0,0.0,0.0,0.3368520024367635,
Gansu,False,0.2,24,S0b,,,,,,,,,,,,,S0b defined only for uniform arrivals
Gansu,False,0.2,24,S1,162026711.96351257,0.0,0.0,0.0,-0.0,5601538.117954132,0.0,379892.2827273768,0.0,0.0,0.0,0.3368520024367635,
Gansu,False,0.2,24,S2,161905838.7842886,0.0,0.0,0.0,-0.0,5597121.473038908,0.0,375605.53913319454,0.0,0.0,0.0,0.3368520024367635,
Jiangsu,True,0.05,6,NOAI,438159953.800638,0.0,0.0,0.0,0.0,15508429.966979371,0.0,0.0,3878346.419121827,0.0,17.0,0.33685200243676333,
Jiangsu,True,0.05,6,S0,457171756.7051435,0.0,0.0,0.0,-0.0,16186680.192283714,0.0,663234.1316099869,3713931.674320909,0.0,17.0,0.33685200243676333,
Jiangsu,True,0.05,6,S0b,,,,,,,,,,,,,S0b defined only for uniform arrivals
Jiangsu,True,0.05,6,S1,454509267.8512444,0.0,0.0,0.0,-0.0,16093661.944337396,0.0,571670.6083947826,3756635.2106818613,0.0,17.0,0.33685200243676333,
Jiangsu,True,0.05,6,S2,454316292.2252063,0.0,0.0,0.0,-0.0,16086579.320332823,0.0,564805.7202371431,3756321.098142391,0.0,17.0,0.33685200243676333,
Jiangsu,True,0.05,24,NOAI,438159953.800638,0.0,0.0,0.0,0.0,15508429.966979371,0.0,0.0,3878346.419121827,0.0,0.0,0.3368520024367635,
Jiangsu,True,0.05,24,S0,457171756.7051435,0.0,0.0,0.0,-0.0,16186680.192283714,0.0,663234.131609987,3713931.674320909,0.0,0.0,0.3368520024367635,
Jiangsu,True,0.05,24,S0b,,,,,,,,,,,,,S0b defined only for uniform arrivals
Jiangsu,True,0.05,24,S1,453342473.1861051,0.0,0.0,0.0,-0.0,16052949.629538042,0.0,531578.8310112399,3775864.6642724304,0.0,0.0,0.3368520024367635,
Jiangsu,True,0.05,24,S2,453123265.2223434,0.0,0.0,0.0,-0.0,16045310.942627694,0.0,524053.42504034657,3779577.5416930662,0.0,0.0,0.3368520024367635,
Jiangsu,True,0.2,6,NOAI,438159953.800638,0.0,0.0,0.0,0.0,15508429.966979371,0.0,0.0,3878346.419121827,0.0,17.0,0.33685200243676333,
Jiangsu,True,0.2,6,S0,515297796.170746,0.0,0.0,0.0,-0.0,18213180.477710087,0.0,2652936.5264399475,2848203.825030098,105559.21679064402,17.0,0.33685200243676333,
Jiangsu,True,0.2,6,S0b,,,,,,,,,,,,,S0b defined only for uniform arrivals
Jiangsu,True,0.2,6,S1,504310689.45923185,0.0,0.0,0.0,-0.0,17840201.946946688,0.0,2286682.4335791306,3060380.4262398775,34899.91173390475,17.0,0.33685200243676333,
Jiangsu,True,0.2,6,S2,503504879.00643927,0.0,0.0,0.0,-0.0,17811961.739252333,0.0,2259222.8809485724,3067155.863656064,29789.116989995164,17.0,0.33685200243676333,
Jiangsu,True,0.2,24,NOAI,438159953.800638,0.0,0.0,0.0,0.0,15508429.966979371,0.0,0.0,3878346.419121827,0.0,0.0,0.3368520024367635,
