case,total_cost,investment,new_ocgt,new_onwind,new_solar,new_batt_mw,emissions_t,curtail,ai_mwh,import_mwh,export_mwh
NOAI,399465331.8622813,0.0,0.0,0.0,0.0,0.0,13322650.80662504,0.23871735112336054,0.0,0.0,0.0
S0,405450755.58833337,0.0,0.0,0.0,0.0,-0.0,13540251.736319281,0.13061554072803047,274437.087815274,0.0,0.0
S1,404551196.8907938,0.0,0.0,0.0,0.0,-0.0,13507498.28391558,0.14250748095543508,235869.67651430456,0.0,0.0
S2,404485135.5548239,0.0,0.0,0.0,0.0,-0.0,13504945.880411634,0.12351419744766527,243252.84884590365,0.0,0.0
S1rt,404499161.725835,0.0,0.0,0.0,0.0,-0.0,13505479.16701902,0.12511664663054434,243912.0160600819,0.0,0.0
S3,404572700.1973219,0.0,0.0,0.0,0.0,-0.0,13508278.521539971,0.1420278733940325,236769.21841028263,0.0,0.0
