case,total_cost,investment,new_ocgt,new_onwind,new_solar,new_batt_mw,emissions_t,curtail,ai_mwh,import_mwh,export_mwh
NOAI,485936810.8646769,22645421.976340964,0.0,0.0,0.0,-0.0,16855909.963120706,0.0029035379086653364,0.0,685.654118370657,4827.000090225988
S0,490727053.8091421,24128285.697646238,0.0,0.0,0.0,-0.0,16976736.9006466,0.0003541137062481091,172281.79529656406,2195.9717404429116,875.266308072629
S0e,489773716.301013,23475086.207079526,0.0,0.0,0.0,-0.0,16965769.74809637,0.0013187341335788103,137663.20215091092,1591.007685796345,1013.6738836413725
S1,489800820.47397023,23475086.207079526,0.0,0.0,0.0,-0.0,16966760.120922003,0.0013187341335788095,138627.42012530845,1591.0076857963452,914.5485075654516
S2,489769654.0592316,23475086.207079526,0.0,0.0,0.0,-0.0,16965573.75273051,0.00035411370624811005,138426.55032393473,2056.4997963308706,902.6277870192093
S1rt,489769654.0592321,23475086.207079526,0.0,0.0,0.0,-0.0,16965573.752730522,0.0003541137062481091,138426.5503239347,2056.4997963308715,902.6277870192101
S3,489800820.47397023,23475086.207079526,0.0,0.0,0.0,-0.0,16966760.120922003,0.0013187341335788095,138627.42012530845,1591.0076857963452,914.5485075654516
