case,total_cost,investment,new_ocgt,new_onwind,new_solar,new_batt_mw,emissions_t,curtail,ai_mwh,import_mwh,export_mwh
NOAI,107019344.1993609,0.0,0.0,0.0,0.0,0.0,3786743.4351468952,0.4345372174104164,0.0,0.0,0.0
S0,128407891.74848264,0.0,0.0,0.0,0.0,-0.0,4565086.4924973855,0.0798764013703301,1013232.4365433431,0.0,0.0
S1,124210948.35969298,0.0,0.0,0.0,0.0,-0.0,4412066.659967499,0.10478710482643086,855172.563168122,0.0,0.0
S2,123765956.07162388,0.0,0.0,0.0,0.0,-0.0,4395394.421809476,0.05869343248991642,859861.3080949811,0.0,0.0
S3,124210948.35969298,0.0,0.0,0.0,0.0,-0.0,4412066.659967499,0.10478710482643086,855172.563168122,0.0,0.0
