case,total_cost,investment,operating,new_coal,new_ocgt,new_batt_mw,new_batt_mwh,emissions_t,curtail_rate,import_mwh,export_mwh,ai_mwh,note
NOAI,151314900.77933595,0.0,151314900.77933574,0.0,0.0,0.0,0.0,5210133.947871386,0.0,0.0,0.0,0.0,
S0,154665833.7353168,0.0,154665833.7353169,0.0,0.0,-0.0,0.0,5332575.345510673,0.0,0.0,0.0,118840.18006166362,
S0b,,,,,,,,,,,,,S0b defined only for uniform arrivals
S1,153992853.5753798,0.0,153992853.57537985,0.0,0.0,-0.0,0.0,5307984.99039208,0.0,0.0,0.0,94973.0706818442,
S2,153962635.2805739,0.0,153962635.2805739,0.0,0.0,0.0,0.0,5306880.829163275,0.0,0.0,0.0,93901.38478329864,
