case,total_cost,investment,operating,new_coal,new_ocgt,new_batt_mw,new_batt_mwh,emissions_t,curtail_rate,import_mwh,export_mwh,ai_mwh,note
NOAI,445486875.3196117,0.0,445486875.3196169,0.0,0.0,0.0,0.0,15388553.804933693,0.0,0.0,0.0,0.0,
S0,527614456.5801645,4603980.846802035,523010475.73336816,0.0,5962.654006937806,-0.0,-0.0,18067583.325962383,0.0,0.0,0.0,2652936.526439948,
S0b,,,,,,,,,,,,,S0b defined only for uniform arrivals
S1,505604281.24226874,0.0,505604281.2422738,0.0,0.0,-0.0,0.0,17576072.39843042,0.0,0.0,0.0,2126315.3240449596,
S2,504754808.6993355,0.0,504754808.699341,0.0,0.0,-0.0,0.0,17545072.543541834,0.0,0.0,0.0,2096213.7001613863,
