case,total_cost,investment,operating,new_coal,new_ocgt,new_batt_mw,new_batt_mwh,emissions_t,curtail_rate,import_mwh,export_mwh,ai_mwh
NOAI,438159953.800638,0.0,438159953.80064106,0.0,0.0,0.0,0.0,15508429.966979371,0.0,0.0,3878346.419121827,0.0
S0,520964585.10632545,0.0,520964585.10633236,0.0,0.0,-0.0,-0.0,18425148.120386485,0.0,60858.05378182113,2851210.123897697,2859920.6726089288
S0b,493985289.53050274,0.0,493985289.5305081,0.0,0.0,-0.0,-0.0,17486807.930766866,0.0,2874.612865503149,3266418.9895332707,1938461.9611189794
S1,495672836.6669225,0.0,495672836.66692734,0.0,0.0,-0.0,0.0,17547598.933248628,0.0,6064.406336587151,3260990.9705767436,1997532.139704045
S2,492822890.7074361,0.0,492822890.7074409,0.0,0.0,-0.0,-0.0,17447461.622702397,0.0,0.0,3294746.106110667,1899509.3222979987
