case,total_cost,investment,operating,new_coal,new_ocgt,new_batt_mw,new_batt_mwh,emissions_t,curtail_rate,import_mwh,export_mwh,ai_mwh,note
NOAI,151314900.77933595,0.0,151314900.77933574,0.0,0.0,0.0,0.0,5210133.947871386,0.0,0.0,0.0,0.0,
S0,164718632.60326046,0.0,164718632.60326034,0.0,0.0,-0.0,0.0,5699899.538428541,0.0,0.0,0.0,475360.72024665447,
S0b,,,,,,,,,,,,,S0b defined only for uniform arrivals
S1,162026711.96351257,0.0,162026711.9635122,0.0,0.0,-0.0,0.0,5601538.117954132,0.0,0.0,0.0,379892.2827273768,
S2,161905838.7842886,0.0,161905838.7842884,0.0,0.0,-0.0,0.0,5597121.473038908,0.0,0.0,0.0,375605.53913319454,
