case,total_cost,investment,operating,new_coal,new_ocgt,new_batt_mw,new_batt_mwh,emissions_t,curtail_rate,import_mwh,export_mwh,ai_mwh
NOAI,74829393.032395,0.0,74829393.03239436,0.0,0.0,-0.0,0.0,2732122.700663937,0.6037300294251023,0.0,1209600.0,0.0
S0,77442930.99405333,0.0,77442930.99405268,0.0,0.0,-0.0,0.0,2827072.7463940512,0.5232472938609142,0.0,1209600.0,203470.75843289812
S0b,76543055.4285249,0.0,76543055.4285242,0.0,0.0,-0.0,0.0,2794356.8635523086,0.5453042307340906,0.0,1209600.0,137913.02996610623
S1,76434057.86688082,0.0,76434057.86688024,0.0,0.0,-0.0,0.0,2790365.389295848,0.5427988528543377,0.0,1209600.0,142115.61297918885
S2,76268463.92948861,0.0,76268463.92948805,0.0,0.0,-0.0,0.0,2784060.156421316,0.509472198509999,0.0,1209600.0,157400.5121756257
