case,total_cost,investment,operating,new_coal,new_ocgt,new_batt_mw,new_batt_mwh,emissions_t,curtail_rate,import_mwh,export_mwh,ai_mwh
NOAI,438159953.800638,0.0,438159953.80064106,0.0,0.0,0.0,0.0,15508429.966979371,0.0,0.0,3878346.419121827,0.0
S0,520964585.10632545,0.0,520964585.1063324,0.0,0.0,-0.0,-0.0,18425148.120386485,0.0,60858.05378182113,2851210.123897697,2859920.6726089288
S0b,493985289.53050274,0.0,493985289.5305081,0.0,0.0,-0.0,-0.0,17486807.930766866,0.0,2874.61286550315,3266418.9895332707,1938461.9611189794
S1,495670581.54852134,0.0,495670581.5485259,0.0,0.0,-0.0,-0.0,17547638.643409256,0.0,6095.369917647826,3262244.7474868,1997532.1397040454
S2,492822890.70743626,0.0,492822890.707441,0.0,0.0,-0.0,-0.0,17447461.62270241,0.0,0.0,3294746.106110667,1899509.3222979987
