technology,province,hours,mean_capacity_factor,minimum,maximum,p_nom_max_source_assumption_MW,mean_diurnal_peak_hour_UTC_plus_8
solar,Anhui,8784,0.1254972071729056,0.0,0.8150793159753431,180282.3474644291,13
solar,Beijing,8784,0.15844760942777647,0.0,0.8219757170068946,20003.00418950023,13
solar,Chongqing,8784,0.09485869337083505,0.0,0.802718645021191,90167.76629854344,13
solar,Fujian,8784,0.13071725268151518,0.0,0.7823241456345779,119305.71791917091,13
solar,Gansu,8784,0.1593802778123695,0.0,0.7799885187871934,628677.9862270046,13
solar,Guangdong,8784,0.13657551066905432,0.0,0.7725354283176893,325785.61482314556,13
solar,Guangxi,8784,0.12014922926763155,0.0,0.7779193224513038,360018.08820098225,13
solar,Guizhou,8784,0.09364933094002481,0.0,0.8051081798583574,251353.7690190567,14
solar,Hainan,8784,0.15042999084319358,0.0,0.7870472400736189,81176.03149809538,13
solar,Hebei,8784,0.1585314816212627,0.0,0.8226730516922414,341708.37424711627,13
solar,Heilongjiang,8784,0.14515997828108773,0.0,0.7698853663074997,220022.21260838854,12
solar,Henan,8784,0.13919245188727725,0.0,0.8327732348459281,257439.12073225464,13
solar,Hubei,8784,0.11902601298107668,0.0,0.8113376925603386,300463.66469244316,13
solar,Hunan,8784,0.10882139098957792,0.0,0.8184345436105971,317461.5470504802,13
solar,InnerMongolia,8784,0.16917422805651464,0.0,0.8269187058689358,2203657.9326926386,13
solar,Jiangsu,8784,0.1308054162046592,0.0,0.8187653824253699,183647.2657909399,12
solar,Jiangxi,8784,0.12332645748233236,0.0,0.8246893589592642,239360.1169951786,13
solar,Jilin,8784,0.1541064079349142,0.0,0.7799052353266953,167701.61853133858,12
solar,Liaoning,8784,0.1559829830780091,0.0,0.7803040342981888,303031.69413259556,12
solar,Ningxia,8784,0.16313130422488792,0.0,0.8166462173948056,178451.80294667784,13
solar,Qinghai,8784,0.18582457889275006,0.0,0.8426766924480437,327369.5689737272,14
solar,Shaanxi,8784,0.15081508217526435,0.0,0.8444134948012485,369223.8770485094,13
solar,Shandong,8784,0.14611331629185034,0.0,0.7983450797105369,330712.74949258915,13
solar,Shanghai,8784,0.12610176347904883,0.0,0.8164663974398167,12525.79406665057,12
solar,Shanxi,8784,0.15554255162313785,0.0,0.8286022293636723,353299.4210301551,13
solar,Sichuan,8784,0.14841566440004875,0.0,0.7354111543448241,804639.652654164,14
solar,Tianjin,8784,0.15857123656773822,0.0,0.8288434309427286,27655.76844859177,13
solar,Tibet,8784,0.1957760921306032,0.0,0.8915537440067549,414660.02002682735,14
solar,Xinjiang,8784,0.17948864841316797,0.0,0.7752754473852386,1425678.4046507892,15
solar,Yunnan,8784,0.13766192052484807,0.0,0.7249219517740049,574401.5328408957,14
solar,Zhejiang,8784,0.11891501249959151,0.0,0.8052895189170092,115770.56041145434,12
onwind,Anhui,8784,0.10086084902008177,0.0,0.9213846739246707,106048.4396849583,22
onwind,Beijing,8784,0.07444114206222355,0.0,0.9932898450478108,11766.473052647194,21
onwind,Chongqing,8784,0.029827262117072022,0.0,0.6267586015787204,53039.862528554986,22
onwind,Fujian,8784,0.3494645424433422,0.0,0.8439787111682433,70179.83407010057,16
onwind,Gansu,8784,0.12417993243964792,0.0,0.7283571923143849,369810.5801335325,21
onwind,Guangdong,8784,0.14965377709138214,0.0,0.8786500204473607,191638.59695479157,5
onwind,Guangxi,8784,0.1383011759830871,0.0,0.8562649111641037,211775.34600057785,23
onwind,Guizhou,8784,0.10988000230066293,0.0,0.9193854961255636,147855.15824650403,15
onwind,Hainan,8784,0.23292014323718946,0.0,0.9918931956982483,47750.60676358552,16
onwind,Hebei,8784,0.17974717560853773,0.0,0.9018317936477801,201004.92602771544,15
onwind,Heilongjiang,8784,0.20824096827855532,0.0,0.9921267848077632,129424.83094611074,22
onwind,Henan,8784,0.09354556341038626,0.0,0.8187127967077842,151434.77690132626,22
onwind,Hubei,8784,0.0911891877288865,0.0,0.9326160983218438,176743.33217202534,22
onwind,Hunan,8784,0.08755210038248624,0.0,0.8369626679476629,186742.0865002824,21
onwind,InnerMongolia,8784,0.2988722840034452,0.0,0.9310110440565068,1296269.3721721421,1
onwind,Jiangsu,8784,0.14728704626824582,0.0,0.9673147594419709,108027.80340643525,22
onwind,Jiangxi,8784,0.07907495478892584,0.0,0.812876119349865,140800.06882069336,22
onwind,Jilin,8784,0.2657355147165948,0.0,0.9902243008562086,98648.01090078741,22
onwind,Liaoning,8784,0.2406416266272748,0.0,0.998448446018494,178253.93772505614,22
onwind,Ningxia,8784,0.16423735245603108,0.0,0.9759456297911028,104971.64879216341,21
onwind,Qinghai,8784,0.10115827853052592,0.0,0.768591172776334,192570.33469042776,16
onwind,Shaanxi,8784,0.16609104748887327,0.0,0.9497704223207669,217190.51591088792,23
