case,total_cost,investment,operating,new_coal,new_ocgt,new_batt_mw,new_batt_mwh,emissions_t,curtail_rate,import_mwh,export_mwh,ai_mwh
NOAI,438159953.800638,0.0,438159953.80064106,0.0,0.0,0.0,0.0,15508429.966979371,0.0,0.0,3878346.419121827,0.0
S0,458641502.25738585,0.0,458641502.2573894,0.0,0.0,-0.0,-0.0,16239819.814161578,0.0,0.0,3708286.8503343537,714980.1681522322
S0b,452027864.37621486,0.0,452027864.3762184,0.0,0.0,-0.0,-0.0,16004405.844330272,0.0,0.0,3770775.12801247,484615.49027974484
S1,452434610.27197057,0.0,452434610.2719739,0.0,0.0,-0.0,-0.0,16019778.841800265,0.0,0.0,3775885.322656393,499383.0349260113
S2,451729648.63046336,0.0,451729648.6304672,0.0,0.0,-0.0,-0.0,15994759.186713353,0.0,0.0,3783282.705090437,474877.3305744997
