case,total_cost,investment,new_ocgt,new_onwind,new_solar,new_batt_mw,emissions_t,curtail,ai_mwh,import_mwh,export_mwh
NOAI,96273444.09399576,0.0,0.0,0.0,0.0,-0.0,3510924.8297323096,0.0042205709493202724,0.0,0.0,1209206.042492982
S0,110617528.23696288,0.0,0.0,0.0,0.0,-0.0,4030087.443385431,0.0,506616.21827167156,0.0,1160163.890160704
S1,108341845.94059941,0.0,0.0,0.0,0.0,-0.0,3949436.1709709303,0.0,427586.281584061,0.0,1185189.240847451
S2,108156796.8698083,0.0,0.0,0.0,0.0,-0.0,3942432.5410967404,0.0,420861.29421064176,0.0,1182767.4612866086
S3,108341845.94059941,0.0,0.0,0.0,0.0,-0.0,3949436.1709709303,0.0,427586.281584061,0.0,1185189.240847451
