province,system_cost_S1,system_cost_S3,system_cost_S1rt,system_cost_S2,s3_saving_vs_S1,s3_compensation_floor_own_baseline,s3_mean_commitment_mw,s1rt_saving_vs_S1,gap_S1rt_S2_pct,system_cost_S0,system_cost_S0e,system_cost_NOAI,n_events,ai_mwh_S1,ai_mwh_S1rt
Gansu,159260671.69246966,159260671.69246966,159214152.46894178,159210301.44526815,0.0,0.0,0.0,46519.22352787852,0.04750294301321975,160494907.5820283,159216912.34233746,151103385.4747101,"{'winter': 0, 'spring': 0, 'summer': 0, 'autumn': 0}",300634.5763518851,299660.36926784413
Jiangsu,550965701.7440064,551261128.9707884,550685487.8133931,550617326.9520265,-295427.2267819643,459445.5649544373,295.4664397011674,280213.93061327934,0.1333860622342449,560080895.141908,550832372.7623444,499516889.4513456,"{'winter': 8, 'spring': 0, 'summer': 0, 'autumn': 0}",1563792.7662884844,1555012.384316274
Guizhou,114426852.64930081,114429850.66784203,114349962.52074979,114318525.6781497,-2998.0185412168503,20236.508621683344,41.16546671865723,76890.12855102122,0.28971913538981453,116205076.94619317,114467241.64168464,103467726.14162813,"{'winter': 0, 'spring': 0, 'summer': 8, 'autumn': 0}",505167.71001775865,518678.15937649313
