case,total_cost,investment,new_ocgt,new_onwind,new_solar,new_batt_mw,emissions_t,curtail,ai_mwh,import_mwh,export_mwh
NOAI,400906031.87346923,0.0,0.0,0.0,0.0,0.0,13375851.325567242,0.30600493627102654,0.0,0.0,0.0
S0,413643382.6780334,0.0,0.0,0.0,0.0,-0.0,13839379.947120348,0.10898453653665677,578778.9890543001,0.0,0.0
S0e,410980566.0929848,0.0,0.0,0.0,0.0,-0.0,13742412.176172454,0.13970632546123488,462478.16743334703,0.0,0.0
S1,410995738.2487713,0.0,0.0,0.0,0.0,-0.0,13742977.464431556,0.14331719611801527,464894.9566722192,0.0,0.0
S2,410843559.7763308,0.0,0.0,0.0,0.0,-0.0,13737073.148107983,0.09952182436218131,488037.1562561716,0.0,0.0
S1rt,410878898.78409153,0.0,0.0,0.0,0.0,-0.0,13738393.491489228,0.10267475156250928,487914.6936315158,0.0,0.0
S3,411024656.3989575,0.0,0.0,0.0,0.0,-0.0,13743929.493329749,0.13296849171243447,475704.5220285598,0.0,0.0
