case,total_cost,investment,new_ocgt,new_onwind,new_solar,new_batt_mw,emissions_t,curtail,ai_mwh,import_mwh,export_mwh
NOAI,396370547.3900041,0.0,0.0,0.0,0.0,-0.0,13233922.443054251,0.00105446393608401,0.0,0.0,188554.29366147536
S0,410273278.0944184,0.0,0.0,0.0,0.0,-0.0,13733098.807441555,0.0,506616.2182716715,0.0,65808.48215701396
S1,407486530.1820564,0.0,0.0,0.0,0.0,-0.0,13632487.168577455,0.0,405488.35945796914,0.0,84267.985786441
S2,407322138.73170066,0.0,0.0,0.0,0.0,-0.0,13625056.788313571,0.0,401745.8715577413,100.05016555600508,82655.09582576553
S1rt,407326848.95501524,0.0,0.0,0.0,0.0,-0.0,13625333.131701069,0.0,401731.71750333055,100.05016555600508,83710.77161710315
S3,407486530.1820564,0.0,0.0,0.0,0.0,-0.0,13632487.168577455,0.0,405488.35945796914,0.0,84267.98578644102
