province,week,n_events,commit_own_mw,comp_own,commit_inflated_mw,comp_inflated,inflated_minus_own_event_power_mw
Guizhou,summer,8,164.6618668746289,80946.03448673338,51.26244196855887,16112.120379913598,689.9451904278858
Jiangsu,winter,8,-0.0,0.0,-0.0,0.0,3057.747183042614
