case,total_cost,investment,new_ocgt,new_onwind,new_solar,new_batt_mw,emissions_t,curtail,ai_mwh,import_mwh,export_mwh
NOAI,396190176.71670383,0.0,0.0,0.0,0.0,-0.0,13228536.399246413,0.001241215189401411,0.0,0.0,230857.62807575916
S0,425808349.7386055,0.0,0.0,0.0,0.0,-0.0,14296271.870271558,0.0,1074038.217433551,2251.9017161095057,28632.581734114723
S0e,421873807.4745666,0.0,0.0,0.0,0.0,-0.0,14154163.511486016,0.0,931826.641665679,420.1578471219249,40315.8913586543
S1,421971473.2037183,0.0,0.0,0.0,0.0,-0.0,14156300.432445074,0.0,937438.0152586352,1364.770043428266,36245.6927581388
S2,421842515.2509786,0.0,0.0,0.0,0.0,-0.0,14151523.183368409,0.0,932981.4132053686,1419.174941234284,35413.086274745845
S1rt,421843540.63795835,0.0,0.0,0.0,0.0,-0.0,14151560.650047805,0.0,932981.4132053686,1419.1749412342833,36625.243549286024
S3,421971473.2037183,0.0,0.0,0.0,0.0,-0.0,14156300.432445074,0.0,937438.0152586353,1364.7700434282654,36245.6927581388
