case,total_cost,investment,new_ocgt,new_onwind,new_solar,new_batt_mw,emissions_t,curtail,ai_mwh,import_mwh,export_mwh
NOAI,400906031.87346923,0.0,0.0,0.0,0.0,0.0,13375851.325567242,0.30600493627102654,0.0,0.0,0.0
S0,413643382.6780334,0.0,0.0,0.0,0.0,-0.0,13839379.947120348,0.10898453653665675,578778.9890543001,0.0,0.0
S0e,411905547.3735244,0.0,0.0,0.0,0.0,-0.0,13776105.19323801,0.130807845149744,502143.84635758295,0.0,0.0
S1,411865158.3811412,0.0,0.0,0.0,0.0,-0.0,13774595.733573286,0.1273145566834991,505167.71001775865,0.0,0.0
S2,411756831.40998995,0.0,0.0,0.0,0.0,-0.0,13770389.879600795,0.09584789917917946,517357.48608292616,0.0,0.0
S1rt,411788268.2525899,0.0,0.0,0.0,0.0,-0.0,13771586.748641036,0.09938252012912867,518678.15937649313,0.0,0.0
S3,411868156.39968216,0.0,0.0,0.0,0.0,-0.0,13774689.494913435,0.12580680610324177,505969.606991313,0.0,0.0
