Workload,GPU power cap,throughput,total GPU power,normalized throughput,power per GPU,measured_power_ratio,runtime_ratio_equal_work,gpu_energy_ratio_equal_work,inferred_gpu_count
ft_llama_8b_dolly,100,0.0475,4792.939522291668,0.2408450704225352,99.85290671440976,0.28888614211103475,4.152046783625731,1.1994687771861678,48.0
ft_llama_8b_dolly,200,0.1591666666666666,9413.705795640572,0.8070422535211268,196.11887074251192,0.5673948393512408,1.2390924956369982,0.7030546875032826,48.0
ft_llama_8b_dolly,250,0.1783333333333333,11717.81847624021,0.9042253521126762,244.1212182550044,0.7062712470738415,1.1059190031152646,0.7810787934928776,47.99999999999999
ft_llama_8b_dolly,300,0.1875,13838.590932728484,0.9507042253521129,288.30397776517674,0.8340971398064302,1.0518518518518516,0.8773466211297264,48.0
ft_llama_8b_dolly,350,0.1933333333333333,15389.636933403144,0.9802816901408452,320.6174361125655,0.9275837555435325,1.0201149425287355,0.9462420494768793,48.0
ft_llama_8b_dolly,400,0.1972222222222222,16591.102249721203,1.0,345.6479635358584,1.0,1.0,1.0,48.0
ft_llama_8b_p3,100,0.0891666666666666,3203.7017627083305,0.2279829545454545,100.11568008463531,0.29157522607381775,4.386292834890966,1.2789343249593006,32.00000000000001
ft_llama_8b_p3,200,0.3066666666666666,6251.972386683319,0.784090909090909,195.37413708385373,0.569004357170064,1.27536231884058,0.7256867163908064,32.0
ft_llama_8b_p3,250,0.3433333333333333,7674.365412063491,0.8778409090909091,239.8239191269841,0.698459156230523,1.13915857605178,0.7956557378418904,32.0
ft_llama_8b_p3,300,0.3666666666666666,9137.333251534394,0.9375,285.5416641104498,0.8316067492735925,1.0666666666666667,0.8870471992251653,32.0
ft_llama_8b_p3,350,0.3783333333333333,10146.436982875348,0.9673295454545454,317.0761557148546,0.9234472732644827,1.0337738619676946,0.9546356540061613,32.0
ft_llama_8b_p3,400,0.3911111111111111,10987.565047440805,1.0,343.3614077325251,1.0,1.0,1.0,32.00000000000001
infer_llama_8b_48g,100,0.045,4701.0,0.2252252252252252,97.9375,0.2658635900916186,4.44,1.1804343400067867,48.0
infer_llama_8b_48g,200,0.156,9342.0,0.7807807807807807,194.625,0.5283338988802172,1.2807692307692309,0.6766738012581244,48.0
infer_llama_8b_48g,250,0.174,11604.0,0.8708708708708708,241.75,0.6562606040040719,1.1482758620689657,0.7535682108046757,48.0
infer_llama_8b_48g,300,0.186,13869.0,0.9309309309309308,288.9375,0.7843569731930777,1.0741935483870968,0.8425512002364353,48.0
infer_llama_8b_48g,350,0.195,15978.0,0.975975975975976,332.875,0.9036308109942314,1.0246153846153847,0.9258740309571664,48.0
infer_llama_8b_48g,400,0.1998,17682.0,1.0,368.375,1.0,1.0,1.0,48.0
infer_llama_8b_32g,100,0.03,3134.0,0.2252252252252252,97.9375,0.2658635900916186,4.44,1.1804343400067867,32.0
infer_llama_8b_32g,200,0.104,6228.0,0.7807807807807806,194.625,0.5283338988802172,1.280769230769231,0.6766738012581245,32.0
infer_llama_8b_32g,250,0.116,7736.0,0.8708708708708708,241.75,0.6562606040040719,1.1482758620689657,0.7535682108046757,32.0
infer_llama_8b_32g,300,0.124,9246.0,0.9309309309309308,288.9375,0.7843569731930777,1.0741935483870968,0.8425512002364353,32.0
infer_llama_8b_32g,350,0.13,10652.0,0.975975975975976,332.875,0.9036308109942314,1.0246153846153847,0.9258740309571664,32.0
infer_llama_8b_32g,400,0.1332,11788.0,1.0,368.375,1.0,1.0,1.0,32.0
infer_llama_8b,100,0.015,1567.0923308333336,0.2252252252252252,97.94327067708336,0.26587925531614076,4.44,1.1805038936036651,15.999999999999998
infer_llama_8b,200,0.052,3114.9362441666667,0.7807807807807806,194.68351526041667,0.5284927458715077,1.280769230769231,0.6768772475969697,16.0
infer_llama_8b,250,0.058,3868.809954166667,0.8708708708708708,241.8006221354167,0.6563980241205747,1.1482758620689657,0.7537260070074185,16.0
infer_llama_8b,300,0.062,4623.4406825,0.9309309309309308,288.96504265625,0.7844317411774685,1.0741935483870968,0.8426315155228937,16.0
infer_llama_8b,350,0.065,5326.490404166667,0.975975975975976,332.9056502604167,0.9037140149587151,1.0246153846153847,0.9259592830192372,16.0
infer_llama_8b,400,0.0666,5894.0,1.0,368.375,1.0,1.0,1.0,16.0
pt_mpt_13b_lg,100,0.0283333333333333,6510.9826729912365,0.1910112359550561,101.73410426548809,0.2664945681300436,5.2352941176470615,1.3951774449161112,63.99999999999999
pt_mpt_13b_lg,200,0.0925,12555.701635485568,0.6235955056179775,196.182838054462,0.5139049592004515,1.6036036036036037,0.824099844483607,64.0
pt_mpt_13b_lg,250,0.1158333333333333,15663.565455550566,0.7808988764044943,244.7432102429776,0.6411098479449503,1.2805755395683456,0.8209895894546847,64.0
pt_mpt_13b_lg,300,0.1275,18633.10380029436,0.8595505617977528,291.1422468795994,0.7626530739791455,1.1633986928104576,0.887269589335215,64.0
pt_mpt_13b_lg,350,0.1366666666666666,21574.364228080565,0.9213483146067416,337.09944106375883,0.8830388846667309,1.0853658536585364,0.9584202528699883,64.0
pt_mpt_13b_lg,400,0.1483333333333333,24431.952661091455,1.0,381.749260329554,1.0,1.0,1.0,64.0
