province,export,ai_share,slack_mult,slack_base_h,cost_S0,cost_S0e,cost_S1,cost_S2,cost_S3,cost_S1rt,gap_S0e_S2_pct,gap_S1rt_S2_pct,red_S0_S2_pct,red_S0_S0e_pct,share_S0e,share_S1,share_S3,share_S1rt,timing_share_S1,timing_share_S1rt,permwh_S0,permwh_S2,ai_mwh_S0,ai_mwh_S2,gap_S0_S2_pct,gap_S1_S2_pct,gap_S3_S2_pct,co2_S0,co2_S0e,co2_S1,co2_S1rt,co2_S2,co2_S3,curtail_NOAI,curtail_S2,inv_S0,inv_S2,new_ocgt_S0,new_ocgt_S2,new_batt_S0,new_batt_S2,new_solar_S0,new_solar_S2,s3_system_saving_vs_S1,s3_compensation_floor,s3_mean_commitment_mw,peak_2030
Gansu,True,0.2,3.0,24.0,19148256.087,15334546.093,15442977.131,15320114.474,15442977.131,15320839.637,0.094,0.005,19.992,19.917,0.996,0.968,0.968,1.0,-7.513,0.95,27.786,27.697,689127.181,553134.304,24.988,0.802,0.802,523636.353,440598.4,444560.415,439955.012,439912.149,444560.415,0.006,0.0,4813052.45,3273847.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24971.916
Guizhou,False,0.05,1.0,6.0,6406986.607,5585694.556,5557422.182,5503164.036,5578925.488,5517964.517,1.5,0.269,14.107,12.819,0.909,0.94,0.916,0.984,0.343,0.821,22.14,21.138,289389.495,260348.203,16.424,0.986,1.377,233004.533,203130.881,202078.43,200519.819,199956.817,202858.667,0.239,0.124,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-21503.307,61312.379,78.822,41946.452
Guizhou,False,0.05,3.0,24.0,6406986.607,5131668.838,5136341.792,5056744.471,5155080.59,5066187.798,1.482,0.187,21.075,19.905,0.945,0.941,0.927,0.993,-0.062,0.874,22.14,20.545,289389.495,246127.185,26.702,1.574,1.945,233004.533,186592.433,186763.35,184044.119,183685.558,187413.247,0.239,0.126,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-18738.798,130173.711,79.363,41946.452
Guizhou,False,0.1,1.0,6.0,12737350.805,10999515.5,10959126.508,10850799.537,10962124.526,10882236.379,1.371,0.29,14.811,13.644,0.921,0.943,0.941,0.983,0.272,0.789,22.007,20.974,578778.989,517357.486,17.386,0.998,1.026,463528.622,400253.868,398744.408,395735.423,394538.554,398838.169,0.306,0.096,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-2998.019,20236.509,41.165,41946.452
Guizhou,False,0.1,3.0,24.0,12737350.805,10074534.22,10089706.375,9937527.903,10118624.525,9972866.911,1.379,0.356,21.981,20.906,0.951,0.946,0.935,0.987,-0.111,0.742,22.007,20.362,578778.989,488037.156,28.174,1.531,1.822,463528.622,366560.851,367126.139,362542.166,361221.823,368078.168,0.306,0.1,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-28918.15,217869.882,158.726,41946.452
Guizhou,False,0.2,1.0,6.0,25007942.895,21243656.297,21221538.98,20999480.914,21221538.98,21120170.853,1.163,0.575,16.029,15.052,0.939,0.945,0.945,0.97,0.091,0.506,21.604,20.532,1157557.978,1022770.175,19.088,1.057,1.057,910401.314,773409.321,772436.978,768321.066,763848.019,772436.978,0.435,0.042,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,41946.452
Guizhou,False,0.2,3.0,24.0,25007942.895,19339271.399,19366969.509,19087095.456,19582760.937,19233821.785,1.321,0.769,23.676,22.667,0.957,0.953,0.916,0.975,-0.11,0.418,21.604,19.911,1157557.978,958610.318,31.02,1.466,2.597,910401.314,704142.113,705155.744,699480.142,694061.85,712598.518,0.435,0.048,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-215791.429,529430.019,330.108,41946.452
Guizhou,True,0.05,1.0,6.0,7957846.993,6917865.161,6939765.635,6906486.177,6939765.635,6906688.304,0.165,0.003,13.212,13.069,0.989,0.968,0.968,1.0,-1.925,0.982,27.499,27.447,289389.495,251629.863,15.223,0.482,0.482,286048.694,248853.65,249194.346,247818.771,247811.385,249194.346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,41946.452
Guizhou,True,0.05,3.0,24.0,7957846.993,6377242.263,6404401.593,6357912.462,6404401.593,6358126.576,0.304,0.003,20.105,19.862,0.988,0.971,0.971,1.0,-1.405,0.989,27.499,27.41,289389.495,231953.931,25.164,0.731,0.731,286048.694,229480.395,230322.667,227855.002,227847.179,230322.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41946.452
Guizhou,True,0.1,1.0,6.0,15912303.983,13822922.46,13868324.51,13800893.75,13868324.51,13802506.443,0.16,0.012,13.269,13.131,0.99,0.968,0.968,0.999,-2.061,0.927,27.493,27.428,578778.989,503167.244,15.299,0.489,0.489,572125.573,497230.23,497997.622,495327.079,495260.131,497997.622,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,41946.452
