case,total_cost,investment,new_ocgt,new_onwind,new_solar,new_batt_mw,emissions_t,curtail,ai_mwh,import_mwh,export_mwh
NOAI,147482840.98647285,19537140.144629173,0.0,0.0,26634.540270221947,0.0,4539805.834074597,7.462562326048853e-05,0.0,0.0,1824836.1678613361
S0,152318519.91698352,20092011.629837137,0.0,0.0,27390.983987581065,-0.0,4684352.657787538,6.892547297529263e-05,163380.2023878943,0.0,1706120.64386577
S1,151399670.06912643,20291295.817534607,0.0,0.0,27662.66360308026,-0.0,4646213.118750458,6.766972229859687e-05,132557.12204093096,0.0,1733328.5091723292
S2,151391212.55858433,20291295.817534607,0.0,0.0,27662.66360308026,-0.0,4645924.558207839,7.550168410963176e-17,132352.95526797744,0.0,1733574.4686704122
S1rt,151391212.5761251,20291295.817534607,0.0,0.0,27662.66360308026,-0.0,4645924.560343799,2.814336820096043e-08,132352.9227673808,0.0,1733574.4665331556
S3,151399670.06912643,20291295.817534607,0.0,0.0,27662.66360308026,-0.0,4646213.118750458,6.766972229859687e-05,132557.12204093096,0.0,1733328.5091723292
