case,total_cost,investment,new_ocgt,new_onwind,new_solar,new_batt_mw,emissions_t,curtail,ai_mwh,import_mwh,export_mwh
NOAI,396714267.3744147,0.0,0.0,0.0,0.0,-0.0,13252210.28048762,0.0029973070328635676,0.0,0.0,314966.208253962
S0,428511046.79247004,0.0,0.0,0.0,0.0,-0.0,14396670.241441945,0.0,1157557.9781086002,721.3016223850631,40416.01332346103
S0e,424290798.4612581,0.0,0.0,0.0,0.0,-0.0,14244563.120995639,0.0,1004287.6927151659,60.3088006650825,60723.48153217038
S1,424387446.22426116,0.0,0.0,0.0,0.0,-0.0,14246405.762227768,0.0,1010335.4200355173,471.15660088085485,53732.00935997498
S2,424252177.28473616,0.0,0.0,0.0,0.0,-0.0,14241341.442593757,0.0,1005723.9988755861,471.1566008808544,53354.16579837174
S1rt,424256114.11693954,0.0,0.0,0.0,0.0,-0.0,14241500.763171567,0.0,1005766.5430718829,471.1566008808544,55850.13089361225
S3,424387446.22426116,0.0,0.0,0.0,0.0,-0.0,14246405.762227768,0.0,1010335.4200355173,471.15660088085497,53732.00935997498
