province,export,ai_share,slack_mult,slack_base_h,case,total_cost,investment,new_ocgt,new_onwind,new_solar,new_batt_mw,emissions_t,curtail,ai_mwh,import_mwh,export_mwh,s3_compensation_floor_expweek,s3_mean_commitment_mw,peak_2030
Gansu,True,0.1,1.0,6.0,S1,493777242.5377576,23621256.503242377,0.0,0.0,0.0,-0.0,17106667.318850853,0.00032623969641236943,280738.7874270862,2304.516123004736,1151.4107033113753,0.0,0.0,24971.915675619126
Gansu,True,0.1,1.0,6.0,S2,493714999.2420015,23621256.503242377,0.0,0.0,0.0,0.0,17104337.064258523,0.0,279585.86362507753,3269.387973444389,1011.4643507272926,0.0,0.0,24971.915675619126
Gansu,True,0.1,1.0,6.0,S1rt,493715026.9826392,23621256.503242377,0.0,0.0,0.0,-0.0,17104339.420149975,0.0,279560.8707961994,3242.1771655067005,1040.9625405107213,0.0,0.0,24971.915675619126
Gansu,True,0.1,1.0,6.0,S3,493777242.5377576,23621256.503242377,0.0,0.0,0.0,-0.0,17106667.318850853,0.00032623969641236943,280738.7874270862,2304.516123004736,1151.4107033113753,0.0,0.0,24971.915675619126
Gansu,True,0.1,3.0,24.0,NOAI,485973033.97405463,21976864.61426644,0.0,0.0,0.0,-0.0,16881677.19337329,0.00396555255469653,0.0,167.2247668264465,10335.35798100835,0.0,0.0,24971.915675619126
Gansu,True,0.1,3.0,24.0,S0,495078475.15773606,23867725.07615828,0.0,0.0,0.0,-0.0,17145230.22794445,0.0013032188462607027,326760.4047757886,2774.7078198721565,914.4746741360218,0.0,0.0,24971.915675619126
Gansu,True,0.1,3.0,24.0,S1,493357476.6067498,23621256.503242377,0.0,0.0,0.0,-0.0,17091368.368436113,0.0010347909628966782,265114.2440818619,1878.512154218018,1018.3698569419505,0.0,0.0,24971.915675619126
Gansu,True,0.1,3.0,24.0,S2,493333826.7860501,23621256.503242377,0.0,0.0,0.0,-0.0,17090409.215254907,0.0,266068.05340398394,3269.3879734443894,998.2588584324708,0.0,0.0,24971.915675619126
Gansu,True,0.1,3.0,24.0,S1rt,493333829.8343013,23621256.503242377,0.0,0.0,0.0,-0.0,17090410.7944405,0.0,266040.7232212832,3239.632384111206,998.2588584324708,0.0,0.0,24971.915675619126
Gansu,True,0.1,3.0,24.0,S3,493357476.6067498,23621256.503242377,0.0,0.0,0.0,-0.0,17091368.368436113,0.0010347909628966782,265114.2440818619,1878.512154218018,1018.3698569419505,0.0,0.0,24971.915675619126
Gansu,True,0.2,1.0,6.0,NOAI,486053796.086977,20639749.89011738,0.0,0.0,0.0,-0.0,16933513.28435627,0.006007780166463931,0.0,0.0,31743.91465344787,0.0,0.0,24971.915675619126
Gansu,True,0.2,1.0,6.0,S0,504256960.27261084,24556931.457400057,0.0,0.0,0.0,-0.0,17455402.30723498,0.001373395278674566,653520.8095515772,4424.598944745783,876.7168402251276,0.0,0.0,24971.915675619126
Gansu,True,0.2,1.0,6.0,S1,501654715.69233274,23913597.095568076,0.0,0.0,0.0,-0.0,17383770.743633624,0.00013688834156943747,561477.5748541724,3787.2568968991764,905.0271983667581,0.0,0.0,24971.915675619126
Gansu,True,0.2,1.0,6.0,S2,501530833.73024416,24392829.652148955,0.0,0.0,0.0,-0.0,17361661.111598503,0.0,559025.5823300778,5992.380482377259,635.4244980516463,0.0,0.0,24971.915675619126
Gansu,True,0.2,1.0,6.0,S1rt,501532898.6340425,24732681.161737777,0.0,0.0,0.0,-0.0,17349343.859052606,0.0,559029.1985740707,6056.487153895041,969.0852359972905,0.0,0.0,24971.915675619126
Gansu,True,0.2,1.0,6.0,S3,501654715.69233274,23913597.095568076,0.0,0.0,0.0,-0.0,17383770.743633624,0.00013688834156943747,561477.5748541724,3787.2568968991764,905.0271983667581,0.0,0.0,24971.915675619126
Gansu,True,0.2,3.0,24.0,NOAI,486053796.086977,20639749.89011738,0.0,0.0,0.0,-0.0,16933513.28435627,0.006007780166463931,0.0,0.0,31743.91465344787,0.0,0.0,24971.915675619126
Gansu,True,0.2,3.0,24.0,S0,504256960.27261084,24556931.457400057,0.0,0.0,0.0,-0.0,17455402.30723498,0.0013733952786745664,653520.8095515772,4424.5989447457705,876.7168402251283,0.0,0.0,24971.915675619126
Gansu,True,0.2,3.0,24.0,S1,500812632.1131812,23913597.095568076,0.0,0.0,0.0,-0.0,17353075.52883255,0.0006116494035214674,530228.4881637238,2530.670343268136,649.2355104809619,0.0,0.0,24971.915675619126
Gansu,True,0.2,3.0,24.0,S2,500767096.7596288,23913597.095568076,0.0,0.0,0.0,-0.0,17351252.763329193,0.0,531595.1663323296,5436.233479517138,609.0135134620027,0.0,0.0,24971.915675619126
Gansu,True,0.2,3.0,24.0,S1rt,500767820.7800628,23913597.095568076,0.0,0.0,0.0,-0.0,17351295.58465883,0.0,531314.1649526627,5104.459011362741,633.7476576670563,0.0,0.0,24971.915675619126
Gansu,True,0.2,3.0,24.0,S3,500812632.1131812,23913597.095568076,0.0,0.0,0.0,-0.0,17353075.52883255,0.0006116494035214674,530228.4881637238,2530.670343268136,649.2355104809619,0.0,0.0,24971.915675619126
Gansu,False,0.05,1.0,6.0,NOAI,486077349.02546513,22974306.264392972,0.0,0.0,0.0,0.0,16849313.84996448,0.012060222473573454,0.0,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.05,1.0,6.0,S0,490561273.43445206,22974306.264392972,0.0,0.0,0.0,-0.0,17012928.3638941,0.003205725988670645,163380.2023878943,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.05,1.0,6.0,S1,489913319.34816504,22974306.264392972,0.0,0.0,0.0,-0.0,16989254.067584377,0.0032691968629580065,140369.3937135431,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.05,1.0,6.0,S2,489879762.703933,22974306.264392972,0.0,0.0,0.0,-0.0,16987990.31779873,0.0017946067285776295,139905.1936852288,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.05,1.0,6.0,S1rt,489880248.4244176,22974306.264392972,0.0,0.0,0.0,-0.0,16988008.246721804,0.0018017015642256989,139918.9271725736,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.05,1.0,6.0,S3,489913319.34816504,22974306.264392972,0.0,0.0,0.0,-0.0,16989254.067584377,0.0032691968629580065,140369.3937135431,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.05,3.0,24.0,NOAI,486077349.02546513,22974306.264392972,0.0,0.0,0.0,0.0,16849313.84996448,0.012060222473573454,0.0,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.05,3.0,24.0,S0,490561273.43445206,22974306.264392972,0.0,0.0,0.0,-0.0,17012928.3638941,0.0032057259886706497,163380.2023878943,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.05,3.0,24.0,S1,489698501.7704061,22974306.264392972,0.0,0.0,0.0,-0.0,16981414.78277821,0.003662909400194124,132557.12204093096,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.05,3.0,24.0,S2,489688729.0780859,22974306.264392972,0.0,0.0,0.0,-0.0,16980991.860992838,0.0010815778311901308,133481.21826865198,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.05,3.0,24.0,S1rt,489689529.093794,22974306.264392972,0.0,0.0,0.0,-0.0,16981023.17014694,0.0011630175666991348,133469.50125295398,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.05,3.0,24.0,S3,489698501.7704061,22974306.264392972,0.0,0.0,0.0,-0.0,16981414.78277821,0.003662909400194124,132557.12204093096,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.1,1.0,6.0,NOAI,486242658.14392805,22974306.264392972,0.0,0.0,0.0,0.0,16855650.540528942,0.02395611369321651,0.0,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.1,1.0,6.0,S0,495166243.7391839,22974306.264392972,0.0,0.0,0.0,-0.0,17181188.2420715,0.003071987950972508,326760.4047757886,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.1,1.0,6.0,S1,493861373.93506944,22974306.264392972,0.0,0.0,0.0,-0.0,17133495.729961798,0.002553288445220844,280738.7874270862,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.1,1.0,6.0,S2,493794001.3569838,22974306.264392972,0.0,0.0,0.0,-0.0,17130995.140457187,0.0010307603878750551,279098.90979517926,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.1,1.0,6.0,S1rt,493801188.42887497,22974306.264392972,0.0,0.0,0.0,-0.0,17131260.346511174,0.0011324756367284813,279303.72767710313,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.1,1.0,6.0,S3,493861373.93506944,22974306.264392972,0.0,0.0,0.0,-0.0,17133495.729961798,0.002553288445220844,280738.7874270862,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.1,3.0,24.0,NOAI,486242658.14392805,22974306.264392972,0.0,0.0,0.0,0.0,16855650.540528942,0.02395611369321651,0.0,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.1,3.0,24.0,S0,495166243.7391839,22974306.264392972,0.0,0.0,0.0,-0.0,17181188.2420715,0.0030719879509725195,326760.4047757886,0.0,0.0,0.0,0.0,24971.915675619126
