province,draw,coal,gas,inv,idle,u,red_S0_S2_pct,red_S0_S0e_pct,gap_S0e_S2_pct,timing_share_S1,gap_S0_S2_pct,gap_S1_S2_pct,gap_S1rt_S2_pct,new_ocgt_S0,new_ocgt_S2,guard_iterations_max,dropped_share_max
Gansu,0,1.2000763732837336,1.4177710407756603,1.1654114141471161,0.2950414379981184,0.5900498854733677,22.31126453609229,22.034948528952857,0.3556706200576576,0.33824633073160815,28.71878967119701,0.2353663378741322,0.16011516617275845,0.0,0.0,4,0.009837812707979177
Gansu,1,1.3988427563170096,0.7042122436524597,1.1927370510296598,0.40941388575040927,0.6403804858531162,20.10287144849051,19.802014176297355,0.3765558007497116,-2.824133672911579,25.160943594525097,1.4399997173771606,0.06417051224607562,0.0,0.0,4,0.008517375249536082
Gansu,2,0.9424259414554508,0.9227404896806186,0.8529217525924747,0.3390152611765293,0.651364477687386,18.62706322183626,18.400773222993482,0.2780899987175012,-4.065983172806457,22.890980661809902,1.408799254028592,0.06347673972386669,0.0,0.0,4,0.008252103974398524
Gansu,3,1.142797881659594,1.496400226747514,1.175597151528252,0.37443584588823253,0.7966880443045655,8.78475155327344,8.741690532044434,0.04720813894856235,0.32113404623307307,9.630792770798724,0.03204799827287719,0.03471944804922522,0.0,0.0,6,0.0225641565080545
Gansu,4,0.8722469585884791,0.8281696270862756,1.0675237625638185,0.2587884015922767,0.5107040836320789,28.42908380481003,28.10490569570473,0.45294670843838425,-3.5796284695783585,39.72155914181332,2.074327641166196,0.0822187389243334,0.0,0.0,5,0.0038805071849389292
Gansu,5,1.1119110562170962,1.0729648202602313,1.2503006639157115,0.3758452508982021,0.6542352939798541,18.462006802207053,18.343327348519857,0.1455511094065276,-7.7741302259975695,22.642213866390293,1.2770843884712724,0.035141259624071886,0.0,0.0,4,0.008184147844921592
Gansu,6,1.0974987483148033,0.8980119376218646,0.7070764153255035,0.28848042879706215,0.7076096362645518,13.05396427915706,12.091896163516601,1.1065117663666246,0.3189904595606607,15.01386943168903,0.7535450695040469,0.12745496920456567,0.0,0.0,5,0.009845371279111401
Gansu,7,0.8604853791895961,0.9956290484817654,0.7022405452312456,0.4160095459603491,0.546338324318432,23.926480808999706,23.43785302286975,0.6423099540106003,0.5689336602522029,31.451786460577313,0.2768782008589321,0.09101338404844395,0.0,0.0,5,0.0033037162286115138
Gansu,8,0.9140794436510283,1.404265723184663,1.005874485921054,0.4194300492731739,0.691915150082758,14.614622926190158,14.546170376121614,0.08016893807165637,-5.897687585426028,17.116072361613877,0.5529802888736501,0.03970995047499759,0.0,0.0,4,0.009695635465470686
Gansu,9,1.2934167578894857,0.7731964840504365,1.0246862928258933,0.35155444726007,0.7614018130078642,9.545527062920446,9.260679868163525,0.3149066989258431,0.30766870147266984,10.55285244938673,0.2180197637822845,0.030482139288134924,0.0,0.0,6,0.015330921224598202
