case,total_cost,investment,new_ocgt,new_onwind,new_solar,new_batt_mw,emissions_t,curtail,ai_mwh,import_mwh,export_mwh
NOAI,761621538.0302396,0.0,0.0,0.0,0.0,0.0,26953995.434587687,0.0,0.0,0.0,0.0
S0,787021039.7687474,0.0,0.0,0.0,0.0,-0.0,27691705.307252876,0.0,784298.6302975928,0.0,0.0
S1,782600281.810495,0.0,0.0,0.0,0.0,-0.0,27587745.942536734,0.0,662745.9304163487,0.0,0.0
S2,782227460.7689797,0.0,0.0,0.0,0.0,-0.0,27578028.64117586,0.0,651913.597728696,0.0,0.0
S1rt,782276953.046262,0.0,0.0,0.0,0.0,-0.0,27577018.438721016,0.0,651944.1266968296,0.0,0.0
S3,782608666.8746319,0.0,0.0,0.0,0.0,-0.0,27587566.339493766,0.0,662745.9304163487,0.0,0.0
