case,total_cost,investment,new_ocgt,new_onwind,new_solar,new_batt_mw,emissions_t,curtail,ai_mwh,import_mwh,export_mwh
NOAI,485973033.97405463,21976864.61426644,0.0,0.0,0.0,-0.0,16881677.19337329,0.00396555255469653,0.0,167.2247668264465,10335.35798100835
S0,494378748.6562973,23580286.321387433,0.0,0.0,0.0,-0.0,17130163.62447173,0.001964556285586343,301603.0410945377,2665.4649701654207,1442.0153000279552
S1,493013116.8071188,24040641.231062535,0.0,0.0,0.0,-0.0,17063449.520265367,0.0005900859405814919,253626.97315167057,2604.049918160098,1553.6968363908954
S2,492926444.2265877,23621256.503242377,0.0,0.0,0.0,-0.0,17075525.129901186,0.0,251575.966960615,3239.632384111206,1561.7716676339483
S1rt,492926499.38665074,23621256.503242377,0.0,0.0,0.0,-0.0,17075527.145398196,0.0,251575.966960615,3239.632384111206,1626.978923887676
S3,493013116.8071188,24040641.231062535,0.0,0.0,0.0,-0.0,17063449.520265367,0.0005900859405814919,253626.97315167057,2604.049918160098,1553.6968363908954
