province,type,mw_2020,mw_2030,units_2030
Shanxi,nuclear,0.0,0.0,0
Shanxi,hydropower,1200.0,5100.0,4
Shanxi,wind,19133.4,23599.6,372
Shanxi,solar,10511.9,23951.9,357
Sichuan,coal,11155.0,15055.0,32
Sichuan,oil/gas,700.0,10357.4,21
Sichuan,nuclear,0.0,0.0,0
Sichuan,hydropower,53161.0,90389.0,189
Sichuan,wind,3894.0,6845.6,94
Sichuan,solar,1717.5,9748.5,95
Tianjin,coal,11634.0,12150.0,27
Tianjin,oil/gas,3832.0,4537.0,12
Tianjin,nuclear,0.0,0.0,0
Tianjin,hydropower,0.0,0.0,0
Tianjin,wind,788.0,1328.0,32
Tianjin,solar,1098.6,4428.6,84
Tibet,coal,0.0,0.0,0
Tibet,oil/gas,180.0,180.0,1
Tibet,nuclear,0.0,0.0,0
Tibet,hydropower,1741.0,2071.0,11
Tibet,wind,49.5,521.5,6
Tibet,solar,1250.9,5750.900000000001,101
Xinjiang,coal,62670.0,83320.0,233
Xinjiang,oil/gas,368.9,368.9,5
Xinjiang,nuclear,0.0,0.0,0
Xinjiang,hydropower,5424.0,12516.0,48
Xinjiang,wind,22107.0,39244.4,346
Xinjiang,solar,11936.0,55924.8,562
Yunnan,coal,11335.0,11900.0,29
Yunnan,oil/gas,0.0,0.0,0
Yunnan,nuclear,0.0,0.0,0
Yunnan,hydropower,66932.0,81060.0,101
Yunnan,wind,8584.0,16092.4,192
Yunnan,solar,2678.1,34754.0,364
Zhejiang,coal,42963.8,59564.8,127
Zhejiang,oil/gas,12467.7,16730.7,53
Zhejiang,nuclear,9086.0,12706.0,14
Zhejiang,hydropower,7281.0,27076.0,32
Zhejiang,wind,1792.0,6587.0,57
Zhejiang,solar,8057.6,10331.4,1435
