dam,archived_nameplate_MW,confirmed_2020_year_end_operating_MW,first_production_date,source_url,GEM_2025_plant_capacity_MW,GEM_start_year,GEM_unit_phase_field,archive_province_label,GEM_province_label,status
Baihetan,16000.0,0,2021-06-28,https://www.ctg.com.cn/sxjt/xwzx55/zhxw23/2024081106181629105/index.html,16000.0,2022.0,,Sichuan,Sichuan,verified year-end bound; full commissioning trajectory and cross-province allocation unresolved
Wudongde,10200.0,6800,2020-06-29,https://www.ctg.com.cn/sxjt/xwzx55/zhxw23/2024081106052368282/index.html,10200.0,2021.0,,Sichuan,Yunnan,verified year-end bound; full commissioning trajectory and cross-province allocation unresolved
