case,total_cost,investment,new_ocgt,new_onwind,new_solar,new_batt_mw,emissions_t,curtail,ai_mwh,import_mwh,export_mwh
NOAI,396714267.3744147,0.0,0.0,0.0,0.0,-0.0,13252210.28048762,0.0029973070328635676,0.0,0.0,314966.208253962
S0,426824602.81791574,0.0,0.0,0.0,0.0,-0.0,14335048.43043994,0.0,1097748.3512610958,721.3016223850631,40423.41503806556
S1,421114909.61855704,0.0,0.0,0.0,0.0,-0.0,14129043.933463681,0.0,890648.6835098311,204.7072163076327,68975.14185941068
S2,421018958.0490704,0.0,0.0,0.0,0.0,-0.0,14123070.508582288,0.0,890927.097054615,675.863817188487,63781.29655815664
S1rt,421030828.91529626,0.0,0.0,0.0,0.0,-0.0,14123750.04125774,0.0,890902.0037781564,615.5550165234051,66958.5000701001
S3,421114909.61855704,0.0,0.0,0.0,0.0,-0.0,14129043.933463681,0.0,890648.6835098311,204.70721630763308,68975.14185941068
