case,total_cost,investment,new_ocgt,new_onwind,new_solar,new_batt_mw,emissions_t,curtail,ai_mwh,import_mwh,export_mwh
NOAI,150928926.98825413,0.0,0.0,0.0,0.0,0.0,5197783.205936689,0.012060222473573454,0.0,0.0,0.0
S0,155069841.86903775,0.0,0.0,0.0,0.0,-0.0,5348885.769460047,0.004046576994923068,150801.52054726885,0.0,0.0
S1,154387794.96892384,0.0,0.0,0.0,0.0,-0.0,5323953.726066426,0.003639015721054312,126813.48657583528,0.0,0.0
S2,154342313.017355,0.0,0.0,0.0,0.0,-0.0,5322260.194531915,0.0023982365556139058,125811.26238520048,0.0,0.0
S3,154387794.96892384,0.0,0.0,0.0,0.0,-0.0,5323953.726066426,0.003639015721054312,126813.48657583528,0.0,0.0
