case,total_cost,investment,new_ocgt,new_onwind,new_solar,new_batt_mw,emissions_t,curtail,ai_mwh,import_mwh,export_mwh
NOAI,499516889.4513456,0.0,0.0,0.0,0.0,0.0,17056695.702871963,0.0,0.0,0.0,0.0
S0,556862687.7670478,101378.00363383937,0.0,0.0,0.0,165.9824769517163,18608031.041371748,0.0,1699437.359590864,0.0,0.0
S1,544018341.571473,0.0,0.0,0.0,0.0,-0.0,18356704.257273898,0.0,1378725.407539128,0.0,0.0
S2,543725921.9837145,0.0,0.0,0.0,0.0,-0.0,18358390.899982207,0.0,1375924.8771195714,0.0,0.0
S1rt,543838323.0532426,0.0,0.0,0.0,0.0,-0.0,18355983.336510956,0.0,1375924.8771195714,0.0,0.0
S3,543981482.1708306,0.0,0.0,0.0,0.0,-0.0,18357493.763520878,0.0,1378725.4075391279,0.0,0.0
