case,total_cost,investment,new_ocgt,new_onwind,new_solar,new_batt_mw,emissions_t,curtail,ai_mwh,import_mwh,export_mwh
NOAI,761621538.0302396,0.0,0.0,0.0,0.0,0.0,26953995.434587687,0.0,0.0,0.0,0.0
S0,885002635.2587945,20751476.647763547,8517.507425737414,0.0,17279.96695955156,1950.3082533345805,29399551.802698784,3.507024459291004e-18,3137194.5211903714,0.0,0.0
S1,862262871.0420603,17349623.239548765,7263.850242365303,0.0,14117.648595765137,1814.4459532712333,29107251.095866457,3.446975798464999e-17,2650983.7216653945,0.0,0.0
S2,854388299.9673841,10712030.254686395,1102.718582277198,0.0,13490.57345478439,-0.0,29089807.492894664,2.3624484934034905e-19,2615601.607182194,0.0,0.0
S1rt,856346308.8927754,12647109.33431488,2391.779685791411,0.0,13603.078605794546,1081.9920675020367,29090275.99842816,-3.3721982321254587e-17,2616813.1420108424,0.0,0.0
S3,862385054.134811,16779295.8103633,4328.376646717781,0.0,13999.55576648793,4722.593074132001,29123663.755313657,-4.0080210829128256e-19,2666573.932402799,0.0,0.0
