case,total_cost,investment,new_ocgt,new_onwind,new_solar,new_batt_mw,emissions_t,curtail,ai_mwh,import_mwh,export_mwh
NOAI,761621538.0302396,0.0,0.0,0.0,0.0,0.0,26953995.434587687,0.0,0.0,0.0,0.0
S0,814666352.5649445,101378.00363383825,0.0,0.0,0.0,165.9824769517145,28383620.516019292,0.0,1568597.2605951857,0.0,0.0
S1,802124339.8098038,0.0,0.0,0.0,0.0,-0.0,28141601.30430705,0.0,1257538.6041773404,0.0,0.0
S2,801367992.9609704,0.0,0.0,0.0,0.0,-0.0,28128198.88244354,0.0,1239424.7035030518,0.0,0.0
S1rt,801569372.0089117,0.0,0.0,0.0,0.0,-0.0,28123885.464059375,0.0,1239424.7035030518,0.0,0.0
S3,802111446.0107075,0.0,0.0,0.0,0.0,-0.0,28141877.481747717,0.0,1257538.6041773404,0.0,0.0
