case,total_cost,investment,operating,new_coal,new_ocgt,new_batt_mw,new_batt_mwh,emissions_t,curtail_rate,import_mwh,export_mwh,ai_mwh
NOAI,55737211.59441539,0.0,55737211.59441592,0.0,0.0,0.0,0.0,2029927.660566518,0.06588897060931023,0.0,1209600.0,0.0
S0,61128336.069928,0.0,61128336.06992854,0.0,0.0,-0.0,-0.0,2226313.417615559,0.022582996489269674,0.0,1209600.0,203470.75843289812
S0b,59360204.71159317,0.0,59360204.71159376,0.0,0.0,-0.0,-0.0,2161851.971864208,0.03267129737058044,0.0,1209600.0,137913.02996610623
S1,59445389.66774595,0.0,59445389.66774644,0.0,0.0,-0.0,-0.0,2164899.9737029243,0.0284763513491435,0.0,1209600.0,142115.61297918885
S2,59244082.80141053,0.0,59244082.80141108,0.0,0.0,-0.0,-0.0,2157373.1970335282,0.016423640818268442,0.0,1209600.0,138385.06700391322
