case,total_cost,investment,new_ocgt,new_onwind,new_solar,new_batt_mw,emissions_t,curtail,ai_mwh,import_mwh,export_mwh
NOAI,102027026.13044366,0.0,0.0,0.0,0.0,0.0,3602946.830735549,0.23871735112336054,0.0,0.0,0.0
S0,108012449.85649438,0.0,0.0,0.0,0.0,-0.0,3820547.7604297404,0.13061554072803044,274437.08781527396,0.0,0.0
S1,106887451.9045828,0.0,0.0,0.0,0.0,-0.0,3779628.3490354577,0.15098805644876895,222662.17087745777,0.0,0.0
S2,106828727.17548811,0.0,0.0,0.0,0.0,-0.0,3777313.2311604954,0.12629511391106765,237082.11987992196,0.0,0.0
S1rt,106837008.49002734,0.0,0.0,0.0,0.0,-0.0,3777630.423472639,0.12738541150892077,237063.93396492963,0.0,0.0
S3,106906190.70271091,0.0,0.0,0.0,0.0,-0.0,3780278.246194174,0.14589909543761714,228569.10609347734,0.0,0.0
