case,total_cost,investment,new_ocgt,new_onwind,new_solar,new_batt_mw,emissions_t,curtail,ai_mwh,import_mwh,export_mwh
NOAI,486053796.086977,20639749.89011738,0.0,0.0,0.0,-0.0,16933513.28435627,0.006007780166463931,0.0,0.0,31743.91465344787
S0,502860930.2001617,24556931.457400057,0.0,0.0,0.0,-0.0,17404431.987007264,0.002521720281855092,603206.0821890754,4209.1488989351765,2238.3823413052255
S1,500124133.1844522,24752366.55120839,0.0,0.0,0.0,-0.0,17297245.037798505,0.0008094933350612625,507253.94630334113,4561.254369266755,1953.0023561975408
S2,499953390.302225,24392829.652148962,0.0,0.0,0.0,-0.0,17304022.125018507,0.0,503041.271124707,5992.380482377267,1988.3890500453901
S1rt,499955640.21088445,24556931.457400057,0.0,0.0,0.0,-0.0,17298122.807444967,0.0,503041.16958507913,5973.611135207137,2163.761625006246
S3,500124133.1844522,24752366.55120839,0.0,0.0,0.0,-0.0,17297245.037798505,0.0008094933350612625,507253.94630334113,4561.254369266755,1953.0023561975408
