case,total_cost,investment,new_ocgt,new_onwind,new_solar,new_batt_mw,emissions_t,curtail,ai_mwh,import_mwh,export_mwh
NOAI,486217133.6161234,21535523.556664728,0.0,0.0,0.0,-0.0,16906750.241951108,0.0054225181939203245,0.0,0.0,23922.954689711496
S0,501301452.91434616,24693613.324240185,0.0,0.0,0.0,-0.0,17342434.94599099,0.0016044050707237228,541311.1475159614,4377.301975074095,1603.824543272896
S1,498846879.1212825,25217416.290623438,0.0,0.0,0.0,-0.0,17233591.412904494,0.0004969441983062262,455204.6537047242,5001.162268392682,1369.4808446833813
S2,498691855.4376905,24514003.856505174,0.0,0.0,0.0,-0.0,17253501.059620008,0.0,451257.191499817,6148.937659064901,1313.2495670660587
S1rt,498692911.8567713,24693613.324240185,0.0,0.0,0.0,-0.0,17246985.923929818,0.0,451330.7348015559,6269.338960677276,1720.0652198965108
S3,498846879.1212825,25217416.290623438,0.0,0.0,0.0,-0.0,17233591.412904494,0.0004969441983062262,455204.6537047242,5001.162268392682,1369.4808446833813
