case,total_cost,investment,operating,new_coal,new_ocgt,new_batt_mw,new_batt_mwh,emissions_t,curtail_rate,import_mwh,export_mwh,ai_mwh
NOAI,152129587.54793894,0.0,152129587.5479386,0.0,0.0,0.0,0.0,5241517.391477843,0.05891624775461838,0.0,0.0,0.0
S0,155447875.08857578,0.0,155447875.08857548,0.0,0.0,-0.0,0.0,5362217.179048697,0.037712889731285774,0.0,0.0,128112.18222058451
S0b,154367922.86947155,0.0,154367922.8694716,0.0,0.0,-0.0,0.0,5322919.63802175,0.04377787176215891,0.0,0.0,86834.7833452319
S1,154431176.83367473,0.0,154431176.83367473,0.0,0.0,-0.0,0.0,5325209.739847895,0.04295904185436551,0.0,0.0,89480.87404109344
S2,154279212.36868617,0.0,154279212.36868602,0.0,0.0,-0.0,0.0,5319375.866908348,0.03272999444110017,0.0,0.0,89107.12483027141
