case,total_cost,investment,new_ocgt,new_onwind,new_solar,new_batt_mw,emissions_t,curtail,ai_mwh,import_mwh,export_mwh
NOAI,744281836.7191048,0.0,0.0,0.0,0.0,-0.0,26505315.7534744,0.0,0.0,586578.5179887579,0.0
S0,795072906.4925548,0.0,0.0,0.0,0.0,-0.0,28361195.675327368,0.0,1792029.358668859,895440.5046640602,0.0
S0e,788326760.129587,0.0,0.0,0.0,0.0,-0.0,28114694.918743886,0.0,1554749.795631006,829734.7948912376,0.0
S1,788577806.1156055,0.0,0.0,0.0,0.0,-0.0,28123868.013969652,0.0,1563792.7662884844,825079.0498870257,0.0
S2,788318261.4733585,0.0,0.0,0.0,0.0,-0.0,28114384.38580899,0.0,1554749.795631006,819688.141114842,0.0
S1rt,788320082.9453204,0.0,0.0,0.0,0.0,-0.0,28114450.940687686,0.0,1554749.795631006,821841.3871906647,0.0
S3,788577806.1156055,0.0,0.0,0.0,0.0,-0.0,28123868.013969652,0.0,1563792.7662884844,825079.0498870257,0.0
