case,total_cost,investment,new_ocgt,new_onwind,new_solar,new_batt_mw,emissions_t,curtail,ai_mwh,import_mwh,export_mwh
NOAI,491561584.2767442,0.0,0.0,0.0,0.0,0.0,17216307.918885738,0.0,0.0,136902.20667221316,2696280.3653082456
S0,595319115.0670583,0.0,0.0,0.0,0.0,-0.0,20693647.36662845,0.0,3398874.719181728,1292691.353610312,746825.8490888124
S1,575200077.05623,0.0,0.0,0.0,0.0,-0.0,20025370.98189309,0.0,2757450.815078256,845139.5672173502,954467.873964322
S2,575000070.6555939,0.0,0.0,0.0,0.0,-0.0,20018851.2669594,0.0,2751849.754239143,829324.7278000432,946052.7876147875
S1rt,575018738.1975456,0.0,0.0,0.0,0.0,-0.0,20019401.8658414,0.0,2751849.754239143,838743.7046715181,954447.3039849321
S3,575200077.05623,0.0,0.0,0.0,0.0,-0.0,20025370.98189309,0.0,2757450.815078256,845139.5672173502,954467.873964322
