case,total_cost,investment,operating,new_coal,new_ocgt,new_batt_mw,new_batt_mwh,emissions_t,curtail_rate,import_mwh,export_mwh,ai_mwh,note
NOAI,438159953.800638,0.0,438159953.80064106,0.0,0.0,0.0,0.0,15508429.966979371,0.0,0.0,3878346.419121827,0.0,
S0,457171756.7051435,0.0,457171756.7051478,0.0,0.0,-0.0,0.0,16186680.192283714,0.0,0.0,3713931.674320909,663234.131609987,
S0b,,,,,,,,,,,,,S0b defined only for uniform arrivals
S1,453342473.1861051,0.0,453342473.1861087,0.0,0.0,-0.0,0.0,16052949.629538042,0.0,0.0,3775864.6642724304,531578.8310112399,
S2,453123265.2223434,0.0,453123265.2223469,0.0,0.0,-0.0,0.0,16045310.942627694,0.0,0.0,3779577.5416930662,524053.42504034657,
