province,export,ai_share,slack_mult,slack_base_h,cost_S0,cost_S0e,cost_S1,cost_S2,cost_S3,cost_S1rt,gap_S0e_S2_pct,gap_S1rt_S2_pct,red_S0_S2_pct,red_S0_S0e_pct,share_S0e,share_S1,share_S3,share_S1rt,timing_share_S1,timing_share_S1rt,permwh_S0,permwh_S2,ai_mwh_S0,ai_mwh_S2,gap_S0_S2_pct,gap_S1_S2_pct,gap_S3_S2_pct,co2_S0,co2_S0e,co2_S1,co2_S1rt,co2_S2,co2_S3,curtail_NOAI,curtail_S2,inv_S0,inv_S2,new_ocgt_S0,new_ocgt_S2,new_batt_S0,new_batt_S2,new_solar_S0,new_solar_S2,s3_system_saving_vs_S1,s3_compensation_floor,s3_mean_commitment_mw,peak_2030
Guizhou,False,0.05,1.0,6.0,6406986.607,5585694.556,5557422.182,5503164.036,5578925.488,5517964.517,1.5,0.269,14.107,12.819,0.909,0.94,0.916,0.984,0.343,0.821,22.14,21.138,289389.495,260340.73,16.424,0.986,1.377,233004.533,203130.881,202078.43,200519.819,199956.817,202858.667,0.239,0.124,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-21503.307,61312.379,78.822,41946.452
Guizhou,False,0.05,3.0,24.0,6406986.607,5131668.838,5136341.792,5056744.471,5155080.59,5066187.798,1.482,0.187,21.075,19.905,0.945,0.941,0.927,0.993,-0.062,0.874,22.14,20.545,289389.495,246128.866,26.702,1.574,1.945,233004.533,186592.433,186763.35,184044.119,183685.558,187413.247,0.239,0.126,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-18738.798,130173.711,79.363,41946.452
Guizhou,False,0.1,1.0,6.0,12737350.805,10999515.5,10959126.508,10850799.537,10962124.526,10882236.379,1.371,0.29,14.811,13.644,0.921,0.943,0.941,0.983,0.272,0.789,22.007,20.973,578778.989,517360.791,17.386,0.998,1.026,463528.622,400253.868,398744.408,395735.423,394538.554,398838.169,0.306,0.096,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-2998.019,20236.509,41.165,41946.452
Guizhou,False,0.1,3.0,24.0,12737350.805,10074534.22,10089706.375,9937527.903,10118624.525,9972866.911,1.379,0.356,21.981,20.906,0.951,0.946,0.935,0.987,-0.111,0.742,22.007,20.362,578778.989,488040.519,28.174,1.531,1.822,463528.622,366560.851,367126.139,362542.166,361221.823,368078.168,0.306,0.1,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-28918.15,217869.882,158.726,41946.452
Guizhou,False,0.2,1.0,6.0,25007942.895,21243656.297,21221538.98,20999480.914,21221538.98,21120170.853,1.163,0.575,16.029,15.052,0.939,0.945,0.945,0.97,0.091,0.506,21.604,20.532,1157557.978,1022774.596,19.088,1.057,1.057,910401.314,773409.321,772436.978,768321.066,763848.019,772436.978,0.435,0.042,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,41946.452
Guizhou,False,0.2,3.0,24.0,25007942.895,19339271.399,19366969.509,19087095.456,19582760.937,19233821.785,1.321,0.769,23.676,22.667,0.957,0.953,0.916,0.975,-0.11,0.418,21.604,19.911,1157557.978,958617.043,31.02,1.466,2.597,910401.314,704142.113,705155.744,699480.142,694061.85,712598.518,0.435,0.048,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-215791.429,529430.019,330.108,41946.452
Guizhou,True,0.05,1.0,6.0,8264054.681,7163267.075,7198603.609,7159201.8,7198603.609,7159400.244,0.057,0.003,13.369,13.32,0.996,0.964,0.964,1.0,-8.692,0.951,28.557,28.515,289389.495,251071.923,15.433,0.55,0.55,296454.904,257309.112,258986.22,257372.378,257375.625,258986.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41946.452
Guizhou,True,0.05,3.0,24.0,8264054.681,6598261.686,6625980.129,6594258.453,6625980.129,6594356.787,0.061,0.001,20.206,20.157,0.998,0.981,0.981,1.0,-6.924,0.975,28.557,28.517,289389.495,231239.084,25.322,0.481,0.481,296454.904,236969.835,238318.816,237033.723,237035.332,238318.816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41946.452
Guizhou,True,0.1,1.0,6.0,16384620.813,14191352.725,14265553.718,14185069.137,14265553.718,14186076.707,0.044,0.007,13.424,13.386,0.997,0.963,0.963,1.0,-11.809,0.84,28.309,28.249,578778.989,502143.846,15.506,0.567,0.567,593417.81,514990.313,518286.808,515076.635,515093.12,518286.808,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41946.452
Guizhou,True,0.1,3.0,24.0,16384620.813,13065919.129,13125223.222,13060136.974,13125223.222,13061256.295,0.044,0.009,20.29,20.255,0.998,0.98,0.98,1.0,-10.256,0.806,28.309,28.239,578778.989,462478.167,25.455,0.498,0.498,593417.81,474236.871,476871.562,474313.16,474331.473,476871.562,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41946.452
