case,total_cost,investment,new_ocgt,new_onwind,new_solar,new_batt_mw,emissions_t,curtail,ai_mwh,import_mwh,export_mwh
NOAI,105607694.06056553,0.0,0.0,0.0,0.0,-0.0,3733959.5588047663,0.24385102799570754,0.0,0.0,0.0
S0,119211927.1135745,0.0,0.0,0.0,0.0,-0.0,4228689.321205835,0.03769549657130263,578778.9890543001,0.0,0.0
S0e,117619990.86667787,0.0,0.0,0.0,0.0,-0.0,4170894.7704431834,0.06373431647966808,512783.77110847854,0.0,0.0
S1,117581218.29572293,0.0,0.0,0.0,0.0,-0.0,4169361.122983333,0.05511937015916195,514283.440475668,0.0,0.0
S2,117494687.68976103,0.0,0.0,0.0,0.0,-0.0,4165983.8490831386,0.03797621232478757,518145.3745446615,0.0,0.0
S1rt,117510709.00920118,0.0,0.0,0.0,0.0,-0.0,4166549.4909974625,0.036624284003220695,519583.9474981099,0.0,0.0
S3,117581218.29572293,0.0,0.0,0.0,0.0,-0.0,4169361.122983333,0.05511937015916195,514283.440475668,0.0,0.0
