case,total_cost,investment,new_ocgt,new_onwind,new_solar,new_batt_mw,emissions_t,curtail,ai_mwh,import_mwh,export_mwh
NOAI,157268790.23697272,0.0,0.0,0.0,0.0,-0.0,5429130.947806471,0.0,0.0,0.0,0.0
S0,158238588.26995543,0.0,0.0,0.0,0.0,-0.0,5464566.8941055285,0.0,34456.35905931282,0.0,0.0
S0e,158168422.6094996,0.0,0.0,0.0,0.0,-0.0,5462003.075474185,0.0,31964.665483263176,0.0,0.0
S1,158174466.71801397,0.0,0.0,0.0,0.0,-0.0,5462223.925093536,0.0,32182.722555691395,0.0,0.0
S2,158168280.54694185,0.0,0.0,0.0,0.0,0.0,5461997.885868414,0.0,31964.665480765987,0.0,0.0
S1rt,158168280.54694188,0.0,0.0,0.0,0.0,-0.0,5461997.885868423,0.0,31964.665480765987,0.0,0.0
S3,158174466.71801397,0.0,0.0,0.0,0.0,-0.0,5462223.925093536,0.0,32182.722555691395,0.0,0.0
