source_row,start_h,end_h,mode,gpus,work_gpu_h,release_h,deadline_h
15763,0.0025,7.724799786697693,1,8,49.85777777777778,0.0025,30.301666666666666
15764,0.04388888888888889,0.12787182470428543,1,16,1.0844444444444445,0.04388888888888889,24.111666666666668
15765,0.06944444444444445,5.620923017258097,1,8,35.84222222222222,0.06944444444444445,34.78194444444444
15766,0.115,0.19416424277680822,1,16,1.0222222222222221,0.115,24.17888888888889
15769,0.19083333333333333,0.27584884622842737,1,16,1.0977777777777777,0.19083333333333333,24.259444444444444
15771,0.2011111111111111,0.2637541206127593,1,8,0.40444444444444444,0.2011111111111111,24.251666666666665
15772,0.22944444444444445,0.3684981578437076,1,1,0.11222222222222222,0.22944444444444445,24.341666666666665
15773,0.23055555555555557,0.3276178010471204,1,1,0.07833333333333334,0.23055555555555557,24.308888888888887
15775,0.26944444444444443,0.34964126430095016,1,16,1.0355555555555556,0.26944444444444443,24.33416666666667
15776,0.27361111111111114,0.3369425053325577,1,8,0.4088888888888889,0.27361111111111114,24.32472222222222
15779,0.31666666666666665,0.578597052549932,1,1,0.21138888888888888,0.31666666666666665,24.528055555555557
15780,0.3383333333333333,0.4212836920690324,1,16,1.0711111111111111,0.3383333333333333,24.405277777777776
15781,0.35,0.4573880162885398,1,8,0.6933333333333334,0.35,24.436666666666667
15782,0.41055555555555556,0.48937560597246466,1,16,1.0177777777777777,0.41055555555555556,24.474166666666665
15784,0.4752777777777778,0.6783512701182859,1,1,0.1638888888888889,0.4752777777777778,24.647222222222222
15785,0.4775,0.5645806670544891,1,16,1.1244444444444444,0.4775,24.547777777777778
15786,0.5508333333333333,0.6327511149893348,1,16,1.0577777777777777,0.5508333333333333,24.616944444444446
15787,0.6055555555555555,37.115415939499705,1,1,29.465,0.6055555555555555,54.07055555555556
15788,0.6069444444444444,49.768627593562144,1,1,39.675555555555555,0.6069444444444444,64.2825
15789,0.62,0.7012293969362032,1,16,1.048888888888889,0.62,24.685555555555556
15790,0.6205555555555555,19.469561760713592,1,1,15.211944444444445,0.6205555555555555,39.8325
15791,0.6591666666666667,41.27902802016676,1,1,32.78194444444444,0.6591666666666667,57.44111111111111
15792,0.6725,55.99488219895288,1,1,44.6475,0.6725,69.32
15794,0.6883333333333334,0.7499437657552841,1,1,0.04972222222222222,0.6883333333333334,24.738055555555555
15795,0.6958333333333333,0.7842907698274191,1,16,1.1422222222222222,0.6958333333333333,24.767222222222223
15796,0.7708333333333334,0.8534394997091332,1,16,1.0666666666666667,0.7708333333333334,24.8375
15798,0.8413888888888889,0.976312293969362,1,16,1.7422222222222221,0.8413888888888889,24.950277777777778
15800,0.9566666666666667,1.0413379872018615,1,16,1.0933333333333333,0.9566666666666667,25.025
15803,1.0344444444444445,1.121180919139034,1,16,1.12,1.0344444444444445,25.104444444444443
15804,1.0433333333333332,1.4808018227651736,1,1,0.35305555555555557,1.0433333333333332,25.39638888888889
15805,1.1008333333333333,1.286353015318984,1,1,0.14972222222222223,1.1008333333333333,25.261388888888888
15806,1.1102777777777777,1.1928839441535775,1,16,1.0666666666666667,1.1102777777777777,25.176944444444445
15807,1.1902777777777778,1.278046829552065,1,16,1.1333333333333333,1.1902777777777778,25.261111111111113
15808,1.2666666666666666,1.3451425247236766,1,16,1.0133333333333334,1.2666666666666666,25.33
15811,1.301388888888889,1.4483590265658328,1,1,0.11861111111111111,1.301388888888889,25.42
15812,1.335,1.4289645142524725,1,16,1.2133333333333334,1.335,25.410833333333333
15813,1.418611111111111,1.4991521233275162,1,16,1.04,1.418611111111111,25.48361111111111
15814,1.4247222222222222,1.550352433585418,1,1,0.10138888888888889,1.4247222222222222,25.52611111111111
15815,1.493611111111111,1.5769056622067092,1,16,1.0755555555555556,1.493611111111111,25.560833333333335
15817,1.5677777777777777,1.6486629823540817,1,16,1.0444444444444445,1.5677777777777777,25.633055555555554
15818,1.6083333333333334,1.8389422144657748,1,1,0.18611111111111112,1.6083333333333334,25.794444444444444
15820,1.6377777777777778,1.7258910219119643,1,16,1.1377777777777778,1.6377777777777778,25.70888888888889
15821,1.7125,1.7940735892961024,1,16,1.0533333333333332,1.7125,25.778333333333332
15822,1.7827777777777778,1.8626304052743845,1,16,1.031111111111111,1.7827777777777778,25.84722222222222
15825,1.8586111111111112,1.942938239286407,1,16,1.0888888888888888,1.8586111111111112,25.926666666666666
15826,1.9369444444444444,2.01714126430095,1,16,1.0355555555555556,1.9369444444444444,26.001666666666665
15827,2.005,2.0958667830133795,1,16,1.1733333333333333,2.005,26.078333333333333
15829,2.0861111111111112,2.1697498545666085,1,16,1.08,2.0861111111111112,26.15361111111111
15830,2.160833333333333,2.2517001163467136,1,16,1.1733333333333333,2.160833333333333,26.234166666666667
15831,2.2394444444444446,2.3186086872212526,1,16,1.0222222222222221,2.2394444444444446,26.303333333333335
15832,2.308611111111111,2.3970685476051967,1,16,1.1422222222222222,2.308611111111111,26.38
15833,2.383888888888889,2.464429901105294,1,16,1.04,2.383888888888889,26.448888888888888
15834,2.3986111111111112,2.4853475858057017,1,4,0.28,2.3986111111111112,34.55416666666667
15835,2.4047222222222224,6.121999709133217,1,1,3.0,2.4047222222222224,29.404722222222222
15836,2.4547222222222222,2.536984196238123,1,16,1.0622222222222222,2.4547222222222222,26.52111111111111
15837,2.528611111111111,2.6125940469265077,1,16,1.0844444444444445,2.528611111111111,26.59638888888889
15838,2.6005555555555557,2.682473337211557,1,16,1.0577777777777777,2.6005555555555557,26.666666666666668
15839,2.6730555555555555,2.7656433003684313,1,16,1.1955555555555555,2.6730555555555555,26.747777777777777
15840,2.7508333333333335,2.83068596082994,1,16,1.031111111111111,2.7508333333333335,26.815277777777776
15841,2.8230555555555554,2.9101362226100447,1,16,1.1244444444444444,2.8230555555555554,26.893333333333334
15842,2.901388888888889,2.9791763622261005,1,16,1.0044444444444445,2.901388888888889,26.964166666666667
15843,2.9680555555555554,3.0596107232887335,1,16,1.1822222222222223,2.9680555555555554,27.041944444444443
15844,3.0455555555555556,3.129194299011053,1,16,1.08,3.0455555555555556,27.113055555555555
15847,3.118888888888889,3.203904401783983,1,16,1.0977777777777777,3.118888888888889,27.1875
15848,3.1983333333333333,3.2830046538685282,1,16,1.0933333333333333,3.1983333333333333,27.266666666666666
15849,3.2719444444444443,3.3569599573395386,1,16,1.0977777777777777,3.2719444444444443,27.340555555555557
15850,3.346111111111111,3.489295132829164,1,16,1.8488888888888888,3.346111111111111,27.461666666666666
15853,3.464722222222222,3.5569657746751986,1,16,1.191111111111111,3.464722222222222,27.539166666666667
15854,3.5469444444444442,3.6360902656583285,1,16,1.1511111111111112,3.5469444444444442,27.61888888888889
15856,3.6225,3.7092364746945896,1,16,1.12,3.6225,27.6925
15857,3.7025,3.7913016288539847,1,16,1.1466666666666667,3.7025,27.774166666666666
15859,3.781111111111111,3.918443862710878,1,16,1.7733333333333334,3.781111111111111,27.891944444444444
15860,3.898888888888889,3.9842485941438817,1,16,1.1022222222222222,3.898888888888889,27.967777777777776
15861,3.943611111111111,9.593528698855923,1,24,109.43333333333334,3.943611111111111,32.50333333333333
15862,3.973333333333333,4.0707397711847975,1,16,1.2577777777777779,3.973333333333333,28.051944444444445
15863,4.0625,4.245266143106457,1,16,2.36,4.0625,28.21
15864,4.215,4.306899360093078,1,16,1.1866666666666668,4.215,28.289166666666667
15865,4.292222222222223,4.3841215823153,1,16,1.1866666666666668,4.292222222222223,28.36638888888889
15866,4.371944444444445,4.462467035097926,1,16,1.1688888888888889,4.371944444444445,28.445
15867,4.4511111111111115,4.539912739965096,1,16,1.1466666666666667,4.4511111111111115,28.522777777777776
15868,4.531666666666666,4.624942796199341,1,16,1.2044444444444444,4.531666666666666,28.606944444444444
15869,4.611944444444444,4.6962715726197395,1,16,1.0888888888888888,4.611944444444444,28.68
15870,4.698333333333333,4.8353218925732016,1,16,1.768888888888889,4.698333333333333,28.808888888888887
15871,4.818611111111111,4.916017548962575,1,16,1.2577777777777779,4.818611111111111,28.897222222222222
15872,4.901111111111111,4.990601124684895,1,16,1.1555555555555554,4.901111111111111,28.973333333333333
15873,4.979166666666667,5.07691729687803,1,16,1.2622222222222221,4.979166666666667,29.058055555555555
15874,5.0625,5.149924859414389,1,16,1.1288888888888888,5.0625,29.133055555555554
15875,5.141111111111111,5.2763787085514835,1,16,1.7466666666666666,5.141111111111111,29.25027777777778
15884,5.2575,5.3487109753732796,1,16,1.1777777777777778,5.2575,29.33111111111111
15885,5.355277777777777,5.451307446189645,1,16,1.24,5.355277777777777,29.432777777777776
15886,5.454166666666667,5.542279910800854,1,16,1.1377777777777778,5.454166666666667,29.525277777777777
15887,5.556388888888889,5.69234487104906,1,16,1.7555555555555555,5.556388888888889,29.66611111111111
15888,5.694166666666667,5.785377642039946,1,16,1.1777777777777778,5.694166666666667,29.767777777777777
15889,5.7877777777777775,5.923389567578049,1,16,1.751111111111111,5.7877777777777775,29.897222222222222
15890,5.916666666666667,6.051590071747141,1,16,1.7422222222222221,5.916666666666667,30.025555555555556
15891,6.055,6.143801628853986,1,16,1.1466666666666667,6.055,30.126666666666665
15892,6.148055555555556,6.242020069808028,1,16,1.2133333333333334,6.148055555555556,30.22388888888889
15893,6.246666666666667,6.333747333721155,1,16,1.1244444444444444,6.246666666666667,30.316944444444445
15894,6.301666666666667,6.335053325576886,1,4,0.10777777777777778,6.301666666666667,34.80888888888889
15895,6.342777777777778,6.44087260034904,1,16,1.2666666666666666,6.342777777777778,30.421944444444446
15896,6.451944444444444,6.544876381617219,1,16,1.2,6.451944444444444,30.526944444444446
15897,6.553333333333334,6.6855031995346135,1,16,1.7066666666666668,6.553333333333334,30.66
15898,6.689444444444445,6.828153965483809,1,16,1.791111111111111,6.689444444444445,30.801388888888887
15899,6.829722222222222,6.9212773899554,1,16,1.1822222222222223,6.829722222222222,30.90361111111111
15900,6.932222222222222,7.01551677331782,1,16,1.0755555555555556,6.932222222222222,30.999444444444446
15901,7.026944444444444,7.1181554198177235,1,16,1.1777777777777778,7.026944444444444,31.100555555555555
