GEM unit/phase ID,Plant / Project name,province,technology,capacity_mw,Status,start,retired,included_2030,selection_reason
G100000600837,Hua'an Pumped Storage hydroelectric plant,Fujian,pumped storage,1400.0,construction,,,False,unknown_start_year_not_imputed
G100001051224,Huaguangtan Stage 1 hydroelectric plant,Zhejiang,run-of-river,60.0,operating,2005.0,,True,operating_or_construction_start_by_2030
G100000600838,Huaguoshan hydroelectric plant,Hebei,pumped storage,1200.0,announced,,,False,unknown_start_year_not_imputed
G100000600839,Huairen hydroelectric plant,Shanxi,pumped storage,1200.0,pre-construction,,,False,unknown_start_year_not_imputed
G100001048094,Huamuqiao hydroelectric plant,Hunan,run-of-river,110.0,operating,1973.0,,True,operating_or_construction_start_by_2030
G100000604162,Huancuiyu Pumped Storage hydroelectric plant,Henan,pumped storage,1800.0,pre-construction,,,False,unknown_start_year_not_imputed
G100000604434,Huangcaoyuan hydroelectric plant,Shanxi,pumped storage,1400.0,pre-construction,,,False,unknown_start_year_not_imputed
G100000600840,Huangcheng hydroelectric plant,Gansu,pumped storage,1400.0,construction,,,False,unknown_start_year_not_imputed
G100001051060,Huangdan hydroelectric plant,Sichuan,conventional storage,48.0,operating,1995.0,,True,operating_or_construction_start_by_2030
G100000600841,Huangdeng hydroelectric plant,Yunnan,conventional storage,1900.0,operating,2019.0,,True,operating_or_construction_start_by_2030
G100000600842,Huangfeng hydroelectric plant,Qinghai,conventional storage,225.0,operating,2015.0,,True,operating_or_construction_start_by_2030
G100000600843,Huanggou hydroelectric plant,Heilongjiang,pumped storage,1200.0,operating,2021.0,,True,operating_or_construction_start_by_2030
G100001048078,Huanghuazhai hydroelectric plant,Guizhou,conventional storage,60.0,operating,2010.0,,True,operating_or_construction_start_by_2030
G100000600844,Huanghuazhai Pumped Storage hydroelectric plant,Guizhou,pumped storage,1000.0,pre-construction,,,False,unknown_start_year_not_imputed
G100000600845,Huangjiaoshu hydroelectric plant,Yunnan,run-of-river,240.0,operating,2012.0,,True,operating_or_construction_start_by_2030
G100000600846,Huangjinping hydroelectric plant,Sichuan,conventional storage,850.0,operating,2015.0,,True,operating_or_construction_start_by_2030
G100000600848,Huanglongtan hydroelectric plant,Hubei,pumped storage,500.0,pre-construction,2028.0,,False,excluded_status_or_vintage
G100000600847,Huanglongtan hydroelectric plant,Hubei,conventional storage,510.0,operating,1974.0,,True,operating_or_construction_start_by_2030
G100000600849,Huangmeijian hydroelectric plant,Anhui,pumped storage,100.0,announced,,,False,unknown_start_year_not_imputed
G100000600850,Huangtankou hydroelectric plant,Zhejiang,conventional storage,85.0,operating,1995.0,,True,operating_or_construction_start_by_2030
G100000604435,Huangyang hydroelectric plant,Gansu,pumped storage,1400.0,construction,2030.0,,True,operating_or_construction_start_by_2030
G100000604436,Huangyangping Pumped Storage hydroelectric plant,Hunan,pumped storage,1200.0,announced,,,False,unknown_start_year_not_imputed
G100000600852,Huanren hydroelectric plant,Liaoning,conventional storage,223.0,operating,1968.0,,True,operating_or_construction_start_by_2030
G100001051062,Huashangou hydroelectric plant,Sichuan,conventional storage,72.0,operating,2022.0,,True,operating_or_construction_start_by_2030
G100000600853,Huayuan hydroelectric plant,Hubei,pumped storage,1200.0,pre-construction,2030.0,,False,excluded_status_or_vintage
G100001027171,Hubei Baokang Siping hydroelectric plant,Hubei,run-of-river,60.0,operating,2006.0,,True,operating_or_construction_start_by_2030
G100001028003,Hubei Eping hydroelectric plant,Hubei,conventional storage,114.0,operating,2011.0,,True,operating_or_construction_start_by_2030
G100001027172,Hubei Fang County Sanliping hydroelectric plant,Hubei,conventional storage,70.0,operating,2011.0,,True,operating_or_construction_start_by_2030
G100001027173,Hubei Shiyan Zhuxi Baishahe hydroelectric plant,Hubei,conventional storage,45.0,operating,2013.0,,True,operating_or_construction_start_by_2030
G100000600854,Huilong hydroelectric plant,Henan,pumped storage,120.0,operating,2005.0,,True,operating_or_construction_start_by_2030
G100000600855,Huizhou hydroelectric plant,Guangdong,pumped storage,2400.0,operating,2011.0,,True,operating_or_construction_start_by_2030
G100000604437,Huizhou Zhongdong hydroelectric plant,Guangdong,pumped storage,1200.0,construction,2025.0,,True,operating_or_construction_start_by_2030
G100001027174,Hunan Dongping hydroelectric plant,Hunan,conventional storage,72.0,operating,2006.0,,True,operating_or_construction_start_by_2030
G100001027175,Hunan Shuangpai Wulipai hydroelectric plant,Hunan,run-of-river,45.0,operating,2011.0,,True,operating_or_construction_start_by_2030
G100001027176,Hunan Taojiang Baizhuzhou hydroelectric plant,Hunan,conventional storage,45.0,operating,2011.0,,True,operating_or_construction_start_by_2030
G100001027177,Hunan Taoshui hydroelectric plant,Hunan,run-of-river,69.0,operating,2012.0,,True,operating_or_construction_start_by_2030
