case,total_cost,investment,new_ocgt,new_onwind,new_solar,new_batt_mw,emissions_t,curtail,ai_mwh,import_mwh,export_mwh
NOAI,510781361.8074699,0.0,0.0,0.0,0.0,0.0,17416820.350496974,0.0,0.0,0.0,0.0
S0,654474115.550341,18917877.516258486,9379.635965061905,0.0,15221.650339865215,1008.4252033803714,20185774.268871702,-3.539357280797886e-17,3584058.717337718,0.0,0.0
S0e,636376789.3320422,26378293.3433174,7315.960731683673,0.0,26779.116636499446,1735.216026470073,19764297.776746772,-4.9170641839436494e-17,3188285.5530603486,0.0,0.0
S1,636348892.8029423,26705680.466312706,7223.205512534809,0.0,27279.668750675286,1777.5313112560782,19769780.671903595,1.8937325617931804e-18,3197269.991762651,0.0,0.0
S2,631182952.3525767,19794741.14664441,2866.221881952218,0.0,24093.050264691577,-0.0,19811390.41987893,-4.6977273209423015e-18,3189529.5001232545,0.0,0.0
S1rt,634661424.2389416,15891405.908822179,6375.63593408507,0.0,13237.119549838675,2393.308450994149,19954460.113793246,-4.0337815253264464e-17,3189999.382643029,0.0,0.0
S3,634738416.4266949,15614506.817352524,3804.193628679366,0.0,13419.21709135355,4837.995769863177,19959846.947729174,4.2806165566321493e-17,3198055.7532076687,0.0,0.0
