province,technology_group,grid_lat,grid_lon,capacity_mw,unit_count,near_boundary_review_mw,assumed_pv_mw,known_pre2020_survivor_mw,unit_ids
Gansu,solar_pv,38.5,102.5,470.0,6,0.0,0.0,270.0,G100000802278;G100000802284;G100000802285;G100000802290;G100001000483;G100001008739
Gansu,solar_pv,38.5,102.75,100.0,1,0.0,0.0,100.0,G100000831478
Gansu,solar_pv,38.75,100.25,70.0,2,0.0,0.0,70.0,G100000802825;G100000803792
Gansu,solar_pv,38.75,100.5,140.0,4,0.0,0.0,100.0,G100000802347;G100000802354;G100000802826;G100000811619
Gansu,solar_pv,38.75,100.75,1150.0,11,0.0,21.0,51.0,G100000803781;G100000811620;G100000811664;G100000811665;G100000811668;G100000811669;G100000811670;G100000830191;G100000831436;G100000831437;G100000831513
Gansu,solar_pv,38.75,101.0,400.0,5,0.0,0.0,50.0,G100000802355;G100000811672;G100000831511;G100000831514;G100001022553
Gansu,solar_pv,38.75,102.25,100.0,1,0.0,0.0,0.0,G100001023312
Gansu,solar_pv,38.75,102.75,70.0,1,0.0,0.0,0.0,G100000830184
Gansu,solar_pv,38.75,103.0,96.4,1,0.0,0.0,0.0,G100000831497
Gansu,solar_pv,38.75,103.25,206.3,24,0.0,52.8,105.0,G100000803774;G100000811666;G100001013010;G100001013011;G100001013119;G100001013563;G100001013564;G100001014754;G100001016443;G100001036821;G100001036822;G100001036823;G100001036824;G100001036825;G100001036826;G100001036827;G100001036828;G100001036829;G100001036830;G100001036831;G100001036832;G100001036833;G100001036834;G100001036835
Gansu,solar_pv,39.0,94.0,100.0,1,0.0,0.0,0.0,G100001006703
Gansu,solar_pv,39.0,94.5,640.0,1,0.0,0.0,0.0,G100000831440
Gansu,solar_pv,39.0,100.0,90.0,2,0.0,0.0,90.0,G100000802352;G100000803904
Gansu,solar_pv,39.0,100.5,56.0,6,0.0,0.0,56.0,G100001013012;G100001013013;G100001014714;G100001014715;G100001015750;G100001015751
Gansu,solar_pv,39.0,100.75,100.0,1,0.0,0.0,0.0,G100000831512
Gansu,solar_pv,39.0,102.5,1069.5,16,180.0,0.0,669.5,G100000802335;G100000802336;G100000802337;G100000802338;G100000802339;G100000802340;G100000802341;G100000802342;G100000802343;G100000802344;G100000802345;G100000803392;G100000803393;G100000811685;G100000831498;G100001027863
Gansu,solar_pv,39.25,94.25,10.0,1,0.0,0.0,10.0,G100001012562
Gansu,solar_pv,39.25,99.5,330.0,7,0.0,0.0,300.0,G100000802348;G100000802349;G100000802350;G100000802351;G100000803066;G100000803776;G100000811621
Gansu,solar_pv,39.25,99.75,200.0,1,0.0,0.0,0.0,G100000811694
Gansu,solar_pv,39.25,100.25,265.0,6,0.0,4.0,61.0,G100000803778;G100000811663;G100001012995;G100001014646;G100001014647;G100001036836
Gansu,solar_pv,39.5,93.5,35.0,1,0.0,0.0,0.0,G100000830170
Gansu,solar_pv,39.5,94.25,20.0,1,0.0,0.0,20.0,G100000803787
Gansu,solar_pv,39.5,98.5,274.0,8,0.0,10.0,150.0,G100000802320;G100000803374;G100000803626;G100000803627;G100000803791;G100000803793;G100000811676;G100000831439
Gansu,solar_pv,39.5,98.75,130.8,17,0.0,21.7,100.1,G100001012122;G100001012782;G100001012783;G100001012784;G100001014397;G100001014398;G100001014399;G100001014400;G100001014401;G100001014402;G100001014403;G100001016120;G100001036125;G100001036126;G100001036127;G100001036128;G100001036820
Gansu,solar_pv,39.5,99.5,349.5,3,0.0,0.0,50.0,G100000802346;G100000811674;G100000811675
Gansu,solar_pv,39.5,99.75,118.0,4,0.0,0.0,18.0,G100000811622;G100000830175;G100001012997;G100001012998
Gansu,solar_pv,39.75,96.5,30.0,1,0.0,0.0,30.0,G100000803780
Gansu,solar_pv,39.75,98.0,1512.0,21,0.0,57.0,547.0,G100000802270;G100000802271;G100000802272;G100000802273;G100000802274;G100000802276;G100000802277;G100000803379;G100000803383;G100000803779;G100000811631;G100000811691;G100000831462;G100000831463;G100000831531;G100000831533;G100000831538;G100000831539;G100000831543;G100000831544;G100000831545
Gansu,solar_pv,39.75,98.25,410.0,19,0.0,30.0,310.0,G100000802275;G100000803395;G100000803399;G100000803400;G100000811632;G100000811633;G100000831540;G100000831541;G100000831542;G100001013556;G100001013557;G100001013558;G100001014198;G100001014199;G100001015747;G100001015748;G100001015749;G100001016270;G100001030828
Gansu,solar_pv,39.75,98.5,85.0,3,0.0,15.0,85.0,G100000802319;G100000803398;G100000831438
Gansu,solar_pv,40.0,93.5,200.0,1,0.0,0.0,0.0,G100000802796
Gansu,solar_pv,40.0,94.5,647.0,20,0.0,57.0,617.0,G100000802306;G100000802308;G100000802309;G100000802310;G100000802311;G100000802312;G100000802313;G100000802314;G100000802315;G100000803375;G100000803380;G100000803389;G100000803623;G100000803624;G100000803777;G100000831546;G100000831547;G100000831548;G100000831549;G100000831550
Gansu,solar_pv,40.0,99.0,2049.0,15,0.0,0.0,360.0,G100000802317;G100000802318;G100000802758;G100000802840;G100000803378;G100000803384;G100000803390;G100000811653;G100000811655;G100000811656;G100000811657;G100000811658;G100000830181;G100000830182;G100000831472
Gansu,solar_pv,40.25,94.75,294.0,14,0.0,0.0,244.0,G100000803391;G100000803394;G100000803775;G100000803782;G100000803783;G100000803788;G100000803790;G100000811616;G100000811618;G100001012776;G100001012777;G100001012846;G100001012847;G100001013117
Gansu,solar_pv,40.25,96.5,1.0,1,0.0,0.0,1.0,G100001014396
Gansu,solar_pv,40.25,97.0,484.0,10,0.0,0.0,74.0,G100000802777;G100000802778;G100000802779;G100000803376;G100000803377;G100000803396;G100000811692;G100000814005;G100000830196;G100000831532
Gansu,solar_pv,40.25,97.5,34.8,5,0.0,0.0,34.8,G100001012299;G100001017078;G100001017079;G100001017080;G100001017081
Gansu,solar_pv,40.25,97.75,400.0,1,0.0,0.0,0.0,G100000831529
Gansu,solar_pv,40.25,99.25,52.4,8,0.0,0.0,52.4,G100001012993;G100001013006;G100001013007;G100001013118;G100001014351;G100001014352;G100001014353;G100001017548
Gansu,solar_pv,40.5,95.75,74.1,7,0.0,10.0,44.1,G100000802786;G100000831551;G100001012886;G100001012991;G100001013000;G100001013103;G100001013104
Gansu,solar_pv,40.5,96.5,100.0,1,0.0,0.0,100.0,G100000802316
Gansu,solar_pv,40.5,97.25,50.0,1,0.0,0.0,0.0,G100000802780
Gansu,solar_pv,41.0,95.5,220.0,2,0.0,0.0,20.0,G100000803067;G100000831451
Gansu,solar_pv,41.5,95.25,200.0,1,0.0,0.0,0.0,G100000830176
Gansu,solar_pv,41.75,97.0,100.0,2,0.0,0.0,0.0,G100000811673;G100000830192
Gansu,wind_onshore,33.5,104.75,300.0,1,0.0,0.0,0.0,G100000923567
Gansu,wind_onshore,34.25,104.5,100.0,1,0.0,0.0,0.0,G100000923570
Gansu,wind_onshore,34.25,105.5,25.0,1,0.0,0.0,0.0,G100000921550
Gansu,wind_onshore,34.5,105.25,150.0,2,0.0,0.0,0.0,G100000921551;G100000923565
Gansu,wind_onshore,34.75,105.0,45.0,1,0.0,0.0,0.0,G100000921557
Gansu,wind_onshore,34.75,105.25,50.0,1,0.0,0.0,0.0,G100000921521
Gansu,wind_onshore,34.75,106.0,110.0,2,0.0,0.0,0.0,G100000905827;G100001001099
